SupplierName,OrderNumber,OrderDate,RequiredDeliveryDate,RequestNumber,RequestDate,CostCenter,MedCode,MedDescription,InvoiceNumber,ReceivedDate,AmountRequested,AmountPurchased,AmountReceived,OrderPercentageFulfillment
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3301093,DETRUSITOL 2MG C/14 TAB(TOLTERIDONA),,,0,2,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3301789,DOLO NEUROBION 50MG C/20 GRAGEAS (COMPLEJO B/DICLOFENACO),,,0,2,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3500493,FERRANINA FOL C/30 GRAG(HIERRO POLIMALTOSADO/ACIDO FOL,,,0,1,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3301938,FLONORM 200MG C/12 GRAG(RIFAXIMINA),,,0,2,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3301473,FLORATIL 200MG C/6 CAPS(SACCHAROMYCES BOULARDII),,,0,1,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3300115,INDAFLEX 2.5% CREMA 40G TUBO(INDOMETACINA),,,0,3,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3300019,LYRICA 150MG C/28 CAP PREGABALINA,,,0,2,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3500322,MYDOCALM A C/30 CAPS TOLPERISONA /PARACETAMOL,,,0,2,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3500292,NOVOTIRAL 20/100MCG C/50 TAB (LEVOTIROXINA/LIOTIRONINA),,,0,1,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3301924,PLAVIX 75MG C/14 TAB (CLOPIDOGREL),,,0,3,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3300687,PLENDIL 5MG C/30 TAB,,,0,2,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3301299,RIBOTRIPSIN C/25 GRAG (TRIPSINA/QUIMO/TRIPSINA),,,0,1,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3302737,SALOFALK 500MG C/40 GRAG MESALAZINA,,,0,1,0,0
CASA MARZAM S.A. DE C.V.,274475,02/08/18,03/08/18,0,,MEDICAMENTOS,3302217,TRADOL RETARD 100MG C/10 TAB TRAMADOL,,,0,1,0,0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",268691,24/05/18,25/05/18,55356,24/05/18,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6,6,0,0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,271782,03/07/18,04/07/18,56111,03/07/18,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6,6,0,0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272239,05/07/18,06/07/18,56157,05/07/18,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6,6,0,0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272240,05/07/18,06/07/18,56159,05/07/18,MEDICAMENTOS,3302662,NASALUB ADU SOL HUMEC 30ML NASAL(CLORURO DE SODIO),,,1,5,0,0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272273,06/07/18,09/07/18,56169,06/07/18,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6,9,0,0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272880,13/07/18,14/07/18,56308,13/07/18,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6,6,0,0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,274414,01/08/18,02/08/18,56686,01/08/18,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6,3,0,0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,275056,10/08/18,11/08/18,56847,10/08/18,MEDICAMENTOS,3301354,ASPIRINA PROTECT (ACIDO ACETILSALICILICO) 100MG TAB C/28,,,2,1,0,0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),282337,07/11/18,09/11/18,58495,07/11/18,MEDICAMENTOS,3300627,NEPRO HP 236 ML VAINILLA,,,15,15,0,0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),282495,09/11/18,10/11/18,58525,09/11/18,MEDICAMENTOS,3302307,FIRAC PLUS 100MG AMP (CLONIXINATO LISINA/PARGEVER),,,24,12,0,0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),282751,12/11/18,13/11/18,58545,12/11/18,MEDICAMENTOS,3302307,FIRAC PLUS 100MG AMP (CLONIXINATO LISINA/PARGEVER),,,12,9,0,0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),285658,21/12/18,24/12/18,59302,21/12/18,MEDICAMENTOS,3301808,ADALAT CC (NIFEDIPINO) 30MG TAB C/30,,,3,1,0,0
"DISTRIBUCION ESPECIALIZADA DE MEDICAMENTOS, S.A. DE C.V. (DEMSA)",268989,29/05/18,05/06/18,55462,29/05/18,MEDICAMENTOS,3301386,PROFENID IV (KETOPROFENO) 100MG FAM,,,60,60,0,0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,272302,09/07/18,10/07/18,0,,MEDICAMENTOS,3302376,CEFAXONA IV (CEFTRIAXONA) 1 G /10 ML FAM,,,0,3,0,0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,273906,26/07/18,27/07/18,56574,26/07/18,MEDICAMENTOS,3305090,PERFALGAN (PARACETAMOL)1G SOL INY 100ML AMP,,,72,72,0,0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,281853,31/10/18,01/11/18,58398,31/10/18,MEDICAMENTOS,3302139,HEPARINA 1000UI 10ML AMPOLLETA (INHEPAR),,,13,13,0,0
