YearMonth,AmountConsumed,Forecast,MedCode
1/1/2018,44,,3500322
2/1/2018,41,,3500322
3/1/2018,74,,3500322
4/1/2018,43,,3500322
5/1/2018,42,,3500322
6/1/2018,22,,3500322
7/1/2018,37,,3500322
8/1/2018,43,,3500322
9/1/2018,43,,3500322
10/1/2018,37,,3500322
11/1/2018,20,,3500322
12/1/2018,24,,3500322
1/1/2019,37,,3500322
2/1/2019,22,,3500322
3/1/2019,42,,3500322
4/1/2019,70,,3500322
5/1/2019,107,,3500322
6/1/2019,95,,3500322
7/1/2019,115,,3500322
8/1/2019,100,,3500322
9/1/2019,116,,3500322
10/1/2019,146,,3500322
11/1/2019,89,,3500322
12/1/2019,74,,3500322
1/1/2020,85,77.58433259,3500322
2/1/2020,92,78.99413515,3500322
3/1/2020,88,80.59220497,3500322
1/1/2018,1869,,3302669
2/1/2018,1236,,3302669
3/1/2018,1011,,3302669
4/1/2018,737,,3302669
5/1/2018,732,,3302669
6/1/2018,674,,3302669
7/1/2018,968,,3302669
8/1/2018,653,,3302669
9/1/2018,653,,3302669
10/1/2018,1194,,3302669
11/1/2018,1063,,3302669
12/1/2018,1282,,3302669
1/1/2019,2116,,3302669
2/1/2019,758,,3302669
3/1/2019,83,,3302669
4/1/2019,200,,3302669
5/1/2019,275,,3302669
6/1/2019,278,,3302669
7/1/2019,188,,3302669
8/1/2019,318,,3302669
9/1/2019,97,,3302669
10/1/2019,102,,3302669
11/1/2019,239,,3302669
12/1/2019,271,,3302669
1/1/2020,245,258.6090596,3302669
2/1/2020,125,279.6020844,3302669
3/1/2020,190,265.5236392,3302669
1/1/2018,6,,3302934
2/1/2018,7,,3302934
3/1/2018,8,,3302934
4/1/2018,4,,3302934
5/1/2018,6,,3302934
6/1/2018,3,,3302934
7/1/2018,4,,3302934
8/1/2018,11,,3302934
9/1/2018,11,,3302934
10/1/2018,3,,3302934
11/1/2018,5,,3302934
12/1/2018,1,,3302934
1/1/2019,9,,3302934
2/1/2019,6,,3302934
3/1/2019,5,,3302934
4/1/2019,5,,3302934
5/1/2019,6,,3302934
6/1/2019,5,,3302934
7/1/2019,9,,3302934
8/1/2019,4,,3302934
9/1/2019,7,,3302934
10/1/2019,9,,3302934
11/1/2019,3,,3302934
12/1/2019,10,,3302934
1/1/2020,4,6.080256886,3302934
