,Month,MedCode,AmountConsumed,Mean_Forecast,ARIMA_Forecast,NN_Forecast
0,1/1/2018,3302934,6,,,
1,2/1/2018,3302934,7,,,
2,3/1/2018,3302934,8,,,
3,4/1/2018,3302934,4,,,
4,5/1/2018,3302934,6,,,
5,6/1/2018,3302934,3,,,
6,7/1/2018,3302934,4,,,
7,8/1/2018,3302934,11,,,
8,9/1/2018,3302934,11,,,
9,10/1/2018,3302934,3,,,
10,11/1/2018,3302934,5,,,
11,12/1/2018,3302934,1,,,
12,1/1/2019,3302934,9,,,
13,2/1/2019,3302934,6,,,
14,3/1/2019,3302934,5,,,
15,4/1/2019,3302934,5,,,
16,5/1/2019,3302934,6,,,
17,6/1/2019,3302934,5,,,
18,7/1/2019,3302934,9,,,
19,8/1/2019,3302934,4,,,
20,9/1/2019,3302934,7,,,
21,10/1/2019,3302934,9,,,
22,11/1/2019,3302934,3,,,
23,12/1/2019,3302934,10,,,
24,1/1/2020,3302934,4,7.5,6.080256886,4.440407956
25,2/1/2020,3302934,4,6.5,7.972661471,5.585251241
26,3/1/2020,3302934,5,6.5,8.79128857,5.41781895
27,1/1/2018,3300663,13,,,
28,2/1/2018,3300663,17,,,
29,3/1/2018,3300663,79,,,
30,4/1/2018,3300663,77,,,
31,5/1/2018,3300663,52,,,
32,6/1/2018,3300663,55,,,
33,7/1/2018,3300663,11,,,
34,8/1/2018,3300663,25,,,
35,9/1/2018,3300663,25,,,
36,10/1/2018,3300663,13,,,
37,11/1/2018,3300663,97,,,
38,12/1/2018,3300663,48,,,
39,1/1/2019,3300663,76,,,
40,2/1/2019,3300663,19,,,
41,3/1/2019,3300663,23,,,
42,4/1/2019,3300663,12,,,
43,5/1/2019,3300663,3,,,
44,6/1/2019,3300663,6,,,
45,7/1/2019,3300663,9,,,
46,8/1/2019,3300663,6,,,
47,9/1/2019,3300663,5,,,
48,10/1/2019,3300663,29,,,
49,11/1/2019,3300663,21,,,
50,12/1/2019,3300663,16,,,
51,1/1/2020,3300663,35,44.5,17.48793613,45.04133301
52,2/1/2020,3300663,5,18,17.03416863,17.87925005
53,3/1/2020,3300663,12,51,17.6427629,20.9729606
54,1/1/2018,3300142,5,,,
55,2/1/2018,3300142,7,,,
56,3/1/2018,3300142,8,,,
57,4/1/2018,3300142,17,,,
58,5/1/2018,3300142,8,,,
59,6/1/2018,3300142,11,,,
60,7/1/2018,3300142,8,,,
61,8/1/2018,3300142,5,,,
62,9/1/2018,3300142,5,,,
63,10/1/2018,3300142,3,,,
64,11/1/2018,3300142,4,,,
65,12/1/2018,3300142,6,,,
66,1/1/2019,3300142,1,,,
67,2/1/2019,3300142,7,,,
68,3/1/2019,3300142,5,,,
69,4/1/2019,3300142,12,,,
70,5/1/2019,3300142,1,,,
71,6/1/2019,3300142,2,,,
72,7/1/2019,3300142,8,,,
73,8/1/2019,3300142,7,,,
74,9/1/2019,3300142,3,,,
75,10/1/2019,3300142,4,,,
76,11/1/2019,3300142,10,,,
77,12/1/2019,3300142,11,,,
78,1/1/2020,3300142,4,3,5.559689068,2.539316733
79,2/1/2020,3300142,5,7,6.272373227,4.124363388
80,3/1/2020,3300142,2,6.5,4.29679445,4.076985983
81,1/1/2018,3300115,58,,,
82,2/1/2018,3300115,71,,,
83,3/1/2018,3300115,78,,,
84,4/1/2018,3300115,69,,,
85,5/1/2018,3300115,47,,,
86,6/1/2018,3300115,41,,,
87,7/1/2018,3300115,35,,,
88,8/1/2018,3300115,43,,,
89,9/1/2018,3300115,43,,,
90,10/1/2018,3300115,32,,,
91,11/1/2018,3300115,21,,,
92,12/1/2018,3300115,8,,,
93,1/1/2019,3300115,9,,,
94,2/1/2019,3300115,2,,,
95,3/1/2019,3300115,5,,,
96,4/1/2019,3300115,4,,,
97,5/1/2019,3300115,6,,,
98,6/1/2019,3300115,5,,,
99,7/1/2019,3300115,4,,,
100,8/1/2019,3300115,4,,,
101,9/1/2019,3300115,4,,,
102,10/1/2019,3300115,4,,,
103,11/1/2019,3300115,5,,,
104,12/1/2019,3300115,3,,,
105,1/1/2020,3300115,4,33.5,3.527478159,7.29332683
106,2/1/2020,3300115,5,36.5,5.566290966,0
107,3/1/2020,3300115,11,41.5,8.107537493,0
108,1/1/2018,3301778,401,,,
109,2/1/2018,3301778,130,,,
110,3/1/2018,3301778,164,,,
111,4/1/2018,3301778,158,,,
112,5/1/2018,3301778,47,,,
113,6/1/2018,3301778,69,,,
114,7/1/2018,3301778,48,,,
115,8/1/2018,3301778,72,,,
116,9/1/2018,3301778,72,,,
117,10/1/2018,3301778,133,,,
118,11/1/2018,3301778,69,,,
119,12/1/2018,3301778,114,,,
120,1/1/2019,3301778,278,,,
121,2/1/2019,3301778,291,,,
122,3/1/2019,3301778,143,,,
123,4/1/2019,3301778,215,,,
124,5/1/2019,3301778,40,,,
125,6/1/2019,3301778,65,,,
126,7/1/2019,3301778,92,,,
127,8/1/2019,3301778,84,,,
128,9/1/2019,3301778,23,,,
129,10/1/2019,3301778,46,,,
130,11/1/2019,3301778,42,,,
