MedCode,MedDescription,Compound,MedFamily,MedPriceMXN,MinStock,MaxStock
3300139,CORPOTASIN LP 1500MG C/30 TABS.-CLORURO DE POTASIO,CORPOTASIN,Tracto alimentario y metabolismo,568,2,6
3300022,MOTILIUM SUSP GOTAS 60ML(DOMPERDONE),DOMPERDONE,Tracto alimentario y metabolismo,115,1,2
3300130,DORSAL 15/200MG C/7 TABS(MELOXICAM/CARISOPRODOL),MELOXICAM/CARISOPRODOL,Sistema musculoesquelético,834,3,6
3300099,SINGULAIR 5MG C/30 COMP.MAST.,SINGULAIR,No encontrado,848,1,1
3300053,MUCOVIBROL SOL. 120ML,MUCOVIBROL,Sistema respiratorio,847,1,1
3300019,LYRICA 150MG C/28 CAP PREGABALINA,LYRICA,Sistema nervioso,229,2,4
3300066,AS COR SOL GOTAS 24 ML(NORFENEFRINA),NORFENEFRINA,Sistema cardiovascular,312,3,8
3300150,ZOLADEX 10.8MG JPREL IMPLANTE AMP C/1 GOSERELINA,ZOLADEX,Antineoplásicos e inmunomoduladores,13865.76,1,1
2900557,ABINTRA POLVO 27G (SUPLEMENTO ALIMENTICIO),SUPLEMENTO ALIMENTICIO,No encontrado,135,25,66
3300018,LYRICA 150MG C/14 TAB(PREGABALINA),PREGABALINA,Sistema nervioso,426,1,1
2400207,LENEDA 1%GELTB 30G,LENEDA,Dermatológicos,460.5,1,1
3300143,XELODA 500MG C/120 GRAGEAS CAPECITABINA,XELODA,Antineoplásicos e inmunomoduladores,27040,1,2
3300054,"METAMUCIL 174G LIMON/NARANJA(PLANTAGO,PSYLLIUM)","PLANTAGO,PSYLLIUM",Tracto alimentario y metabolismo,629,3,6
3300082,ISORBID AP 20MG C/40 CAPS.(DINITRATO DE ISOSORBIDA),DINITRATO DE ISOSORBIDA,Sistema cardiovascular,2425,1,1
3300115,INDAFLEX 2.5% CREMA 40G TUBO(INDOMETACINA),INDOMETACINA,Sistema musculoesquelético,719,21,59
3300166,INSPRA IC 25MG C/30 TAB EPLERENONA,INSPRA,Sistema cardiovascular,158.5,2,4
2900193,REFRESH TEARS GTS 15ML (CARBOXIMETILCELULOSA SSDICA AL 0.5%),CARBOXIMETILCELULOSA,No encontrado,1480,1,2
3300067,SENSIBIT XP 120ML SUSPENSIONLORATADINA /AMBROXOL,SENSIBIT,Sistema respiratorio,884.5,1,2
3300147,TEGRETOL 200MG C/30 CPR(CARBAMAZEPINA),CARBAMAZEPINA,Sistema nervioso,369,1,2
3300141,ARCALION 200MG C/20 COMPRIMIDOS SULBUTIAMINA,ARCALION,Tracto alimentario y metabolismo,269,1,2
3300015,EMLA 2.5/2.5MG CREMA 30G(LIDOCAINA/PRILOCAINA),LIDOCAINA/PRILOCAINA,Sistema nervioso,453,2,3
3300084,ZIENT 10MG C/14 TAB(EZETIMIBA),EZETIMIBA,Sistema cardiovascular,580,1,1
3300153,COMBIGAN-D SOL. 0.2%/0.5% 5ML(BRIMONIDINA/TIMOLOL),BRIMONIDINA/TIMOLOL,Órganos de los sentidos,946.5,1,1
3300031,LIBERAN 50MG C/60 CPR(SIMETICONA),SIMETICONA,Tracto alimentario y metabolismo,225.5,2,2
3300046,PEDIALYTE SR-45 500ML,PEDIALYTE,Tracto alimentario y metabolismo,887.5,2,4
