MedCode,MedDescription,MedPharmacon,MedFamily
1000255,SIMILAXOL 78 100MG C/100,SIMILAXOL,Tracto alimentario y metabolismo
1000268,HALOPERIL 5MG/ML AMP IM (HALOPERIDOL),HALOPERIL,Sistema nervioso
1000280,FILATIL 300 MCG JER PRELL C/1 FILGRASTIM,FILATIL,Antineoplásicos e inmunomoduladores
1000294,IGEF (CELECOXIB) 200MG C/20 CAP,IGEF,Sistema musculoesquelético
2400207,LENEDA 1%GELTB 30G,LENEDA,Dermatológicos
2900193,REFRESH TEARS GTS 15ML (CARBOXIMETILCELULOSA SSDICA AL 0.5%),REFRESH,Órganos de los sentidos
2900217,"HIPOGLOS TUBO 110G (OXIDO DE ZINC/VITAMINA A,E)",HIPOGLOS,Dermatológicos
2900369,TRADERMA UNGUENTO 0.1%TACROLIMUS CAJA CON TUBO/30G,TRADERMA,Dermatológicos
2900517,ALBUMINA DE HUEVO 400GR OVOPROT,ALBUMINA,Sangre y órganos hematopoyéticos
2900557,ABINTRA POLVO 27G (SUPLEMENTO ALIMENTICIO),ABINTRA,Falla en Google
3300015,EMLA 2.5/2.5MG CREMA 30G(LIDOCAINA/PRILOCAINA),EMLA,Sistema nervioso
3300018,LYRICA 150MG C/14 TAB(PREGABALINA),LYRICA,Sistema nervioso
3300019,LYRICA 150MG C/28 CAP PREGABALINA,LYRICA,Sistema nervioso
3300021,CIPRO XR 500MG C/7 CPR(CIPROFLOXACINO),CIPRO,Antiinfecciosos para uso sistémico
3300022,MOTILIUM SUSP GOTAS 60ML(DOMPERDONE),MOTILIUM,Tracto alimentario y metabolismo
3300028,VIGAMOXI SOL 5ML 0.5% OFT(MOXIFLOXACINO),VIGAMOXI,Órganos de los sentidos
3300029,ADIMOD SOLUCION 800MG/7ML CAJA C/10 FCO (PIDOTIMOD),ADIMOD,Antineoplásicos e inmunomoduladores
3300031,LIBERAN 50MG C/60 CPR(SIMETICONA),LIBERAN,Tracto alimentario y metabolismo
3300035,SENSIBIT XP TAB C/20(LORATADINA/AMBROXOL),SENSIBIT,Sistema respiratorio
3300037,BACTRIM F 800/160MG C/14 CPR SULFAMETOXAZOL Y TRIMETOPRIMA,BACTRIM,Antiinfecciosos para uso sistémico
3300046,PEDIALYTE SR-45 500ML,PEDIALYTE,Tracto alimentario y metabolismo
3300048,JANUMET 50MG/850MG C/56 TAB SITAGLIPTINA/METFORMINA,JANUMET,Tracto alimentario y metabolismo
3300053,MUCOVIBROL SOL. 120ML,MUCOVIBROL,Sistema respiratorio
3300054,"METAMUCIL 174G LIMON/NARANJA(PLANTAGO,PSYLLIUM)",METAMUCIL,No encontrado
3300061,FLEET PS PHOSPHO SODA LAXANTE ORAL 45ML FOSFATO DE SODIO,FLEET,Tracto alimentario y metabolismo
3300066,AS COR SOL GOTAS 24 ML(NORFENEFRINA),AS,Falla en Google
3300067,SENSIBIT XP 120ML SUSPENSIONLORATADINA /AMBROXOL,SENSIBIT,Sistema respiratorio
3300072,HEPA MERZ 5G AMP 10ML (L-ORNITINA/L-ASPARTATO),HEPA,Tracto alimentario y metabolismo
3300074,"ALOSOL SPRAY 306,808UI/0.860G/0.250/100ML SOL 20ML",ALOSOL,Sistema respiratorio
3300078,EVIPRESS 10MG C/10 TABS.(LERCADINIPINO),EVIPRESS,Sistema cardiovascular
3300082,ISORBID AP 20MG C/40 CAPS.(DINITRATO DE ISOSORBIDA),ISORBID,Sistema cardiovascular
3300083,CO DIOVAN 160MG/25MG C/14 GRAGEASVALSARTAN + HIDROCLOROTIAZI,CO,No encontrado
3300084,ZIENT 10MG C/14 TAB(EZETIMIBA),ZIENT,Sistema cardiovascular
3300090,BIOYETIN 2000UI AMP C/ 6 MP (ERITROPOYETINA HUMANA RECO),BIOYETIN,Sangre y órganos hematopoyéticos
3300091,AFUNGIL 100MG AMP 50ML (FLUCONAZOL),AFUNGIL,Antiinfecciosos para uso sistémico
3300092,CRESTOR 10MG C/30 TABS.(ROSUVASTATINA),CRESTOR,No encontrado
3300094,VALCYTE 450MG C/60 COMPRIMIDOS VALGANCICLOVIR,VALCYTE,Antiinfecciosos para uso sistémico
3300095,RECOVERON (NC) 5/4G CREMA 40G40GACIDOACEX@MICO/NEOMICINA,RECOVERON,Dermatológicos
3300099,SINGULAIR 5MG C/30 COMP.MAST.,SINGULAIR,No encontrado
3300100,FOSFOCIL IV 4G AMP (FOSFOMICINA),FOSFOCIL,Antiinfecciosos para uso sistémico
3300107,NUCLEO CMP FORTE 5MG/3MG C/30 CAPS.,NUCLEO,Sistema musculoesquelético
3300111,PULMONARON ORAL CAJA C/10 AMP 3ML,PULMONARON,Sistema respiratorio
3300114,BIOMETRIX C/30 CAPS. VITAMINAS CON GINSENG Y GINGKO BILOBA,BIOMETRIX,Tracto alimentario y metabolismo
3300115,INDAFLEX 2.5% CREMA 40G TUBO(INDOMETACINA),INDAFLEX,Sistema musculoesquelético
3300118,EUTIROX 125MCG C/50 TABS(LEVOTIROXINA SODICA),EUTIROX,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300126,ATACAND 8MG C/14 TABS.(CANDESARTAN CILEXETILO),ATACAND,Sistema cardiovascular
3300129,MONOCORAT 20MG C/20 TABS.(MONONITRATO DE ISOSORBIDA),MONOCORAT,Sistema cardiovascular
3300130,DORSAL 15/200MG C/7 TABS(MELOXICAM/CARISOPRODOL),DORSAL,Sistema musculoesquelético
3300133,AVODART 0.5MG C/30 COMPRIMIDOS(DUTASTERIDA) GLAXO,AVODART,Sistema genitourinario y hormonas sexuales
3300135,CAFIASPIRINA FORTE C/24 TABS. ACIDO ACETILSALICILICO/CAFEINA,CAFIASPIRINA,Sistema nervioso
3300136,CEDAX 400MG C/10 TABS. CEFTIBUTEN,CEDAX,Antiinfecciosos para uso sistémico
3300139,CORPOTASIN LP 1500MG C/30 TABS.-CLORURO DE POTASIO,CORPOTASIN,Tracto alimentario y metabolismo
3300140,ZYPREXA IM 10MG AMP 2ML (OLANZAPINA),ZYPREXA,Sistema nervioso
3300141,ARCALION 200MG C/20 COMPRIMIDOS SULBUTIAMINA,ARCALION,Tracto alimentario y metabolismo
3300142,LIPITOR 80MG C/30 TAB(ATORVASTATINA),LIPITOR,Sistema cardiovascular
3300143,XELODA 500MG C/120 GRAGEAS CAPECITABINA,XELODA,Antineoplásicos e inmunomoduladores
3300147,TEGRETOL 200MG C/30 CPR(CARBAMAZEPINA),TEGRETOL,Sistema nervioso
3300150,ZOLADEX 10.8MG JPREL IMPLANTE AMP C/1 GOSERELINA,ZOLADEX,Antineoplásicos e inmunomoduladores
3300153,COMBIGAN-D SOL. 0.2%/0.5% 5ML(BRIMONIDINA/TIMOLOL),COMBIGAN-D,Órganos de los sentidos
3300157,AKATINOL 10MG C/28 TABS(MEMANTINA),AKATINOL,Sistema nervioso
3300159,DOLOCARTIGEN 50MG/15MG C/30 CAPS. (MELOXICAM/DIACEREMNA),DOLOCARTIGEN,Sistema musculoesquelético
3300160,TAFIROL AC 500/50MG C/15 TAB (PARACETAMOL/DICLOFENACO),TAFIROL,Sistema nervioso
3300161,ARBISTIN 7.5G JBE 150ML ADULTO CARBOCISTEINA,ARBISTIN,Sistema respiratorio
3300165,URO-VAXOM 6MG C/30 CAPS. EXTRACTO BACTERIANO LIOFOLIZADO,URO-VAXOM,Antineoplásicos e inmunomoduladores
3300166,INSPRA IC 25MG C/30 TAB EPLERENONA,INSPRA,Sistema cardiovascular
3300167,DALACIN V CREMA 40G 2%(CLINDAMICINA),DALACIN,Antiinfecciosos para uso sistémico
3300170,DIMEGAN D 0.5/2MG PED SOL C/60ML C/PIPE(LORATADINA/FENILEFRI,DIMEGAN,Sistema respiratorio
3300173,CICLOFERON COLOR PIEL TUBO 2G ACICLOVIR,CICLOFERON,Antiinfecciosos para uso sistémico
3300174,PROSGUTT 160/120MG C/40 CAPSSERENOA REPENS/URTICA DIOICA,PROSGUTT,Sistema genitourinario y hormonas sexuales
3300175,CYMBALTA 30MG C/7 CAPSULAS(DULOXETINA),CYMBALTA,Sistema nervioso
3300181,EUTIROX 150MCG C/50 TAB(LEVOTIROXINA SODICA),EUTIROX,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
