RequestNumber,RequestDate,PurchaseNumber,OrderDate,RequiredDeliveryDate,SupplierName,MedCode,MedDescription,Outflow,AmountRequested,AmountPurchased
52670,2018-01-02,257734.0,2018-01-02,2018-01-03,DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,3304784,BOLENTAX (ENOXAPARINA) 40 MG/0.4 ML JER PRELL C/2,15.0,5.0,6
52670,2018-01-02,257734.0,2018-01-02,2018-01-03,DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,3304883,BOLENTAX (ENOXAPARINA) 60 MG/0.6 ML JER PRELL C/2,14.0,2.0,2
52670,2018-01-02,257734.0,2018-01-02,2018-01-03,DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,3304284,FRESUBIN PLUS VAINILLA 236 ML. FÓRMULA ENTERAL,15.0,5.0,5
52670,2018-01-02,257734.0,2018-01-02,2018-01-03,DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,3302098,NODESCRON 4MG AMPOLLETA (VECURONIO) PISA,39.0,40.0,50
52670,2018-01-02,257785.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3301771,SOMAZINA 1G AMP 4ML (CITICOLINA),424.0,10.0,10
52670,2018-01-02,257786.0,2018-01-02,2018-01-03,FARMACOS NACIONALES S.A. DE C.V. (FANASA),3301096,ENTEROGERMINA (ORAL)AMP 5ML (ESPORAS DE BACILLUS CLAUSII ),58.0,20.0,20
52670,2018-01-02,257786.0,2018-01-02,2018-01-03,FARMACOS NACIONALES S.A. DE C.V. (FANASA),3301315,MIACALCIC 100UI CAJA C/5 AMP (CALCITONINA),13.0,2.0,2
52689,2018-01-02,,,,,3301523,AVELOX (MOXIFLOXACINO) 400 MG TAB C/7,199.0,3.0,0
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3301131,ADVANTAN (METILPREDNISOLONA) 1MG CREMA 15 GR,200.0,1.0,1
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3301020,AFRIN ADULTO (OXIMETAZOLINA ) 0.050% SPRAY 20ML,197.0,2.0,2
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3302943,ALMAX (ALMAGATO) 1.5G/15ML SUSP SOBRES C/24,400.0,3.0,3
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3301727,ALLEGRA D (FEXOFENADINA/FENILEFRINA) 60MG/25MG TAB C/10,196.0,2.0,2
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3302927,"AUTRIN (FUMARATO FERROSO/ ÁC. FÓLICO VIT. B12,C Y E) 600 MG",196.0,1.0,1
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3300607,BACTROBAN (MUPIROCINA) 20 MG/G UNG 15 G,200.0,2.0,2
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3302773,BRILINTA (TICAGRELOR) 90 MG TAB C/30,196.0,1.0,1
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3500340,CALCORT (DEFLAZACORT) 30 MG TAB C/10,199.0,1.0,1
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3300569,CELEBREX (CELECOXIB) 200 MG CAP C/20,197.0,2.0,2
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3300974,CELESTAMINE NS (LORATADINA/ BETAMETASONA) 5 MG/0.25 MG TAB10,199.0,1.0,1
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3302328,CO PLAVIX 75/100 MG C/28 TAB (CLOPIDOGREL/AAS),192.0,4.0,4
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3300321,CONTROLIP 160MG C/15 CAPS (FENOFIBRATO),199.0,2.0,2
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3301586,CORDARONE 200MG C/20 TAB(AMIODARONA ),194.0,2.0,2
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3304536,CREON 300MG C/30CAP PANCREATINA,200.0,1.0,1
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3302397,DAGLA 50MG C/30 TAB(ITOPRIDA) TAKEDA,196.0,4.0,4
52689,2018-01-02,257792.0,2018-01-02,2018-01-03,"NADRO, S.A.P.I. DE C.V.",3301114,HIDRASEC 100MG C/9 CAPS(RACECADOTRILO),195.0,5.0,5
