PROVEEDOR,PEDIDO,FECHA PEDIDO,FECHA ENTREGA,REQUISICION,FECHA SOLICITUD,C. COSTOS,ARTÍCULO,DESCRIPCIÓN,FACTURA,FECHA RECEPCION,CANTIDAD REQUISICION,CANTIDAD SOLICITADA,CANTIDAD RECIBIDA,%
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",258679.0,2018-01-15,2018-01-22,52889.0,2018-01-15,MATERIAL DE CURACION,1900240,#EXTENSION K/750 50CM MEDEX MX450FL,,,250.0,250.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",262080.0,2018-02-26,2018-03-05,53711.0,2018-02-26,MATERIAL DE CURACION,1900947,#EXTENSION MINIVOLUMEN 536035 1.0ML VOL RESIDUA MEDEX,,,50.0,50.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",262080.0,2018-02-26,2018-03-05,53711.0,2018-02-26,MATERIAL DE CURACION,1900979,#KIT P/MONITOREO MX9505T TRANSDUCTOR MEDEX,,,10.0,10.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",262080.0,2018-02-26,2018-03-05,53711.0,2018-02-26,MATERIAL DE CURACION,1901413,#KIT P/MONITOREO MX9604A TRANSDUCTOR MEDEX,,,20.0,20.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",268297.0,2018-05-21,2018-05-28,55285.0,2018-05-21,MATERIAL DE CURACION,1900313,#LLAVE 3 VIAS S/EXTENSION MX5311L MEDEX,,,250.0,250.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",276371.0,2018-08-27,2018-09-03,57176.0,2018-08-27,MATERIAL DE CURACION/ENFERMERIA,1902133,#EXTENSION 30CM MX561,,,250.0,250.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",280172.0,2018-10-15,2018-10-22,58062.0,2018-10-15,MATERIAL DE CURACION/ENFERMERIA,1902133,#EXTENSION 30CM MX561,,,100.0,100.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",280795.0,2018-10-22,2018-10-29,58179.0,2018-10-22,MATERIAL DE CURACION/ENFERMERIA,1902133,#EXTENSION 30CM MX561,,,200.0,200.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",282190.0,2018-11-05,2018-11-12,58424.0,2018-11-03,MATERIAL DE CURACION/ENFERMERIA,1902133,#EXTENSION 30CM MX561,,,250.0,250.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",283203.0,2018-11-20,2018-11-27,58664.0,2018-11-16,MATERIAL DE CURACION/ENFERMERIA,1902133,#EXTENSION 30CM MX561,,,200.0,200.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",283639.0,2018-11-26,2018-12-03,58796.0,2018-11-26,MATERIAL DE CURACION/ENFERMERIA,1902133,#EXTENSION 30CM MX561,,,500.0,500.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",284123.0,2018-12-03,2018-12-11,58933.0,2018-12-03,MATERIAL DE CURACION/ENFERMERIA,1902133,#EXTENSION 30CM MX561,,,500.0,500.0,0,0.0
"ADMINISTRACION MEDICA ESPECIALIZADA, S.A. DE C.V.",262606.0,2018-03-05,2018-03-12,0.0,,MATERIAL DE CURACION,1901667,#LINEA DE CO2 M1921A,,,0.0,25.0,0,0.0
"ADMINISTRACION MEDICA ESPECIALIZADA, S.A. DE C.V.",279108.0,2018-10-01,2018-10-08,57825.0,2018-10-01,MATERIAL DE CURACION,1902028,#ELECTRODO P/DESFIBRILADOR ADULTO PHILIPS M3713A,,,10.0,10.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301093,DETRUSITOL 2MG C/14 TAB(TOLTERIDONA),,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301789,DOLO NEUROBION 50MG C/20 GRAGEAS (COMPLEJO B/DICLOFENACO),,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3500493,FERRANINA FOL C/30 GRAG(HIERRO POLIMALTOSADO/ACIDO FOL,,,0.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301938,FLONORM 200MG C/12 GRAG(RIFAXIMINA),,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301473,FLORATIL 200MG C/6 CAPS(SACCHAROMYCES BOULARDII),,,0.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3300115,INDAFLEX 2.5% CREMA 40G TUBO(INDOMETACINA),,,0.0,3.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3300019,LYRICA 150MG C/28 CAP PREGABALINA,,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3500322,MYDOCALM A C/30 CAPS TOLPERISONA /PARACETAMOL,,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3500292,NOVOTIRAL 20/100MCG C/50 TAB (LEVOTIROXINA/LIOTIRONINA),,,0.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301924,PLAVIX 75MG C/14 TAB (CLOPIDOGREL),,,0.0,3.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3300687,PLENDIL 5MG C/30 TAB,,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301299,RIBOTRIPSIN C/25 GRAG (TRIPSINA/QUIMO/TRIPSINA),,,0.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3302737,SALOFALK 500MG C/40 GRAG MESALAZINA,,,0.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3302217,TRADOL RETARD 100MG C/10 TAB TRAMADOL,,,0.0,1.0,0,0.0
"CASA PLARRE, S.A. DE C.V.",280349.0,2018-10-15,2018-10-22,0.0,,MATERIAL DE CURACION,1901331,"#ELECTRODO PARA MARCAPASOS, PALETA P/DESFIBRILADOR H329",,,0.0,10.0,0,0.0
"CASA PLARRE, S.A. DE C.V.",280350.0,2018-10-15,2018-10-22,0.0,,MENSAJERIA,3702276,GASTOS DE ENVIO,,,0.0,1.0,0,0.0
"CASA PLARRE, S.A. DE C.V.",284747.0,2018-12-10,2018-12-17,59069.0,2018-12-10,MATERIAL DE CURACION,1901331,"#ELECTRODO PARA MARCAPASOS, PALETA P/DESFIBRILADOR H329",,,10.0,10.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",260229.0,2018-02-02,2018-02-12,53259.0,2018-02-02,MATERIAL DE CURACION,1901771,#ALLEVYN HEEL TALONERA,,,15.0,15.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",260229.0,2018-02-02,2018-02-12,53259.0,2018-02-02,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,,,5.0,5.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",268691.0,2018-05-24,2018-05-25,55356.0,2018-05-24,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,6.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",279707.0,2018-10-08,2018-10-15,57937.0,2018-10-08,MATERIAL DE CURACION,1901771,#ALLEVYN HEEL TALONERA,,,10.0,10.0,0,0.0
