MedCode,MedDescription,MedFamily
1000255,SIMILAXOL 78 100MG C/100,Tracto alimentario y metabolismo
1000268,HALOPERIL 5MG/ML AMP IM (HALOPERIDOL),Sistema nervioso
1000280,FILATIL 300 MCG JER PRELL C/1 FILGRASTIM,Antineoplásicos e inmunomoduladores
1000294,IGEF (CELECOXIB) 200MG C/20 CAP,Sistema musculoesquelético
2900193,REFRESH TEARS GTS 15ML (CARBOXIMETILCELULOSA SSDICA AL 0.5%),Órganos de los sentidos
2900217,"HIPOGLOS TUBO 110G (OXIDO DE ZINC/VITAMINA A,E)",Dermatológicos
2900369,TRADERMA UNGUENTO 0.1%TACROLIMUS CAJA CON TUBO/30G,Dermatológicos
2900517,ALBUMINA DE HUEVO 400GR OVOPROT,Sangre y órganos hematopoyéticos
2900557,ABINTRA POLVO 27G (SUPLEMENTO ALIMENTICIO),Falla en Google
3300015,EMLA 2.5/2.5MG CREMA 30G(LIDOCAINA/PRILOCAINA),Sistema nervioso
3300018,LYRICA 150MG C/14 TAB(PREGABALINA),Sistema nervioso
3300019,LYRICA 150MG C/28 CAP PREGABALINA,Sistema nervioso
3300021,CIPRO XR 500MG C/7 CPR(CIPROFLOXACINO),Antiinfecciosos para uso sistémico
3300022,MOTILIUM SUSP GOTAS 60ML(DOMPERDONE),Tracto alimentario y metabolismo
3300028,VIGAMOXI SOL 5ML 0.5% OFT(MOXIFLOXACINO),Órganos de los sentidos
3300029,ADIMOD SOLUCION 800MG/7ML CAJA C/10 FCO (PIDOTIMOD),Antineoplásicos e inmunomoduladores
3300031,LIBERAN 50MG C/60 CPR(SIMETICONA),Tracto alimentario y metabolismo
3300035,SENSIBIT XP TAB C/20(LORATADINA/AMBROXOL),Sistema respiratorio
3300037,BACTRIM F 800/160MG C/14 CPR SULFAMETOXAZOL Y TRIMETOPRIMA,Antiinfecciosos para uso sistémico
3300046,PEDIALYTE SR-45 500ML,Tracto alimentario y metabolismo
3300048,JANUMET 50MG/850MG C/56 TAB SITAGLIPTINA/METFORMINA,Tracto alimentario y metabolismo
3300053,MUCOVIBROL SOL. 120ML,Sistema respiratorio
3300054,"METAMUCIL 174G LIMON/NARANJA(PLANTAGO,PSYLLIUM)",No encontrado
3300061,FLEET PS PHOSPHO SODA LAXANTE ORAL 45ML FOSFATO DE SODIO,Tracto alimentario y metabolismo
3300066,AS COR SOL GOTAS 24 ML(NORFENEFRINA),Falla en Google
3300067,SENSIBIT XP 120ML SUSPENSIONLORATADINA /AMBROXOL,Sistema respiratorio
3300072,HEPA MERZ 5G AMP 10ML (L-ORNITINA/L-ASPARTATO),Sistema cardiovascular
3300074,"ALOSOL SPRAY 306,808UI/0.860G/0.250/100ML SOL 20ML",Sistema respiratorio
3300078,EVIPRESS 10MG C/10 TABS.(LERCADINIPINO),Sistema cardiovascular
3300082,ISORBID AP 20MG C/40 CAPS.(DINITRATO DE ISOSORBIDA),Sistema cardiovascular
3300083,CO DIOVAN 160MG/25MG C/14 GRAGEASVALSARTAN + HIDROCLOROTIAZI,No encontrado
3300084,ZIENT 10MG C/14 TAB(EZETIMIBA),Sistema cardiovascular
3300090,BIOYETIN 2000UI AMP C/ 6 MP (ERITROPOYETINA HUMANA RECO),Sangre y órganos hematopoyéticos
3300091,AFUNGIL 100MG AMP 50ML (FLUCONAZOL),Antiinfecciosos para uso sistémico
3300092,CRESTOR 10MG C/30 TABS.(ROSUVASTATINA),No encontrado
3300094,VALCYTE 450MG C/60 COMPRIMIDOS VALGANCICLOVIR,Antiinfecciosos para uso sistémico
3300095,RECOVERON (NC) 5/4G CREMA 40G40GACIDOACEX@MICO/NEOMICINA,Dermatológicos
3300099,SINGULAIR 5MG C/30 COMP.MAST.,No encontrado
3300100,FOSFOCIL IV 4G AMP (FOSFOMICINA),Antiinfecciosos para uso sistémico
3300107,NUCLEO CMP FORTE 5MG/3MG C/30 CAPS.,Sistema musculoesquelético
3300111,PULMONARON ORAL CAJA C/10 AMP 3ML,Sistema respiratorio
3300114,BIOMETRIX C/30 CAPS. VITAMINAS CON GINSENG Y GINGKO BILOBA,Tracto alimentario y metabolismo
3300115,INDAFLEX 2.5% CREMA 40G TUBO(INDOMETACINA),Sistema musculoesquelético
3300118,EUTIROX 125MCG C/50 TABS(LEVOTIROXINA SODICA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300126,ATACAND 8MG C/14 TABS.(CANDESARTAN CILEXETILO),Sistema cardiovascular
3300129,MONOCORAT 20MG C/20 TABS.(MONONITRATO DE ISOSORBIDA),Sistema cardiovascular
3300130,DORSAL 15/200MG C/7 TABS(MELOXICAM/CARISOPRODOL),Sistema musculoesquelético
