SupplierName,OrderNumber,OrderDate,RequiredDeliveryDate,RequestNumber,RequestDate,CostCenter,MedCode,MedDescription,InvoiceNumber,ReceivedDate,AmountRequested,AmountPurchased,AmountReceived,OrderPercentageFulfillment
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301093,DETRUSITOL 2MG C/14 TAB(TOLTERIDONA),,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301789,DOLO NEUROBION 50MG C/20 GRAGEAS (COMPLEJO B/DICLOFENACO),,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3500493,FERRANINA FOL C/30 GRAG(HIERRO POLIMALTOSADO/ACIDO FOL,,,0.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301938,FLONORM 200MG C/12 GRAG(RIFAXIMINA),,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301473,FLORATIL 200MG C/6 CAPS(SACCHAROMYCES BOULARDII),,,0.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3300115,INDAFLEX 2.5% CREMA 40G TUBO(INDOMETACINA),,,0.0,3.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3300019,LYRICA 150MG C/28 CAP PREGABALINA,,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3500322,MYDOCALM A C/30 CAPS TOLPERISONA /PARACETAMOL,,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3500292,NOVOTIRAL 20/100MCG C/50 TAB (LEVOTIROXINA/LIOTIRONINA),,,0.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301924,PLAVIX 75MG C/14 TAB (CLOPIDOGREL),,,0.0,3.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3300687,PLENDIL 5MG C/30 TAB,,,0.0,2.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3301299,RIBOTRIPSIN C/25 GRAG (TRIPSINA/QUIMO/TRIPSINA),,,0.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3302737,SALOFALK 500MG C/40 GRAG MESALAZINA,,,0.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,274475.0,2018-08-02,2018-08-03,0.0,,MEDICAMENTOS,3302217,TRADOL RETARD 100MG C/10 TAB TRAMADOL,,,0.0,1.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",268691.0,2018-05-24,2018-05-25,55356.0,2018-05-24,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,6.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,271782.0,2018-07-03,2018-07-04,56111.0,2018-07-03,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,6.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272239.0,2018-07-05,2018-07-06,56157.0,2018-07-05,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,6.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272240.0,2018-07-05,2018-07-06,56159.0,2018-07-05,MEDICAMENTOS,3302662,NASALUB ADU SOL HUMEC 30ML NASAL(CLORURO DE SODIO),,,1.0,5.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272273.0,2018-07-06,2018-07-09,56169.0,2018-07-06,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,9.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272880.0,2018-07-13,2018-07-14,56308.0,2018-07-13,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,6.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,274414.0,2018-08-01,2018-08-02,56686.0,2018-08-01,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,3.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,275056.0,2018-08-10,2018-08-11,56847.0,2018-08-10,MEDICAMENTOS,3301354,ASPIRINA PROTECT (ACIDO ACETILSALICILICO) 100MG TAB C/28,,,2.0,1.0,0,0.0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),282337.0,2018-11-07,2018-11-09,58495.0,2018-11-07,MEDICAMENTOS,3300627,NEPRO HP 236 ML VAINILLA,,,15.0,15.0,0,0.0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),282495.0,2018-11-09,2018-11-10,58525.0,2018-11-09,MEDICAMENTOS,3302307,FIRAC PLUS 100MG AMP (CLONIXINATO LISINA/PARGEVER),,,24.0,12.0,0,0.0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),282751.0,2018-11-12,2018-11-13,58545.0,2018-11-12,MEDICAMENTOS,3302307,FIRAC PLUS 100MG AMP (CLONIXINATO LISINA/PARGEVER),,,12.0,9.0,0,0.0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),285658.0,2018-12-21,2018-12-24,59302.0,2018-12-21,MEDICAMENTOS,3301808,ADALAT CC (NIFEDIPINO) 30MG TAB C/30,,,3.0,1.0,0,0.0
"DISTRIBUCION ESPECIALIZADA DE MEDICAMENTOS, S.A. DE C.V. (DEMSA)",268989.0,2018-05-29,2018-06-05,55462.0,2018-05-29,MEDICAMENTOS,3301386,PROFENID IV (KETOPROFENO) 100MG FAM,,,60.0,60.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,260262.0,2018-02-06,2018-02-07,53283.0,2018-02-06,MEDICAMENTOS,3304883,BOLENTAX (ENOXAPARINA) 60 MG/0.6 ML JER PRELL C/2,A-19322,2018-02-06,6.0,6.0,2,33.33
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,260262.0,2018-02-06,2018-02-07,53283.0,2018-02-06,MEDICAMENTOS,3304883,BOLENTAX (ENOXAPARINA) 60 MG/0.6 ML JER PRELL C/2,A-19363,2018-02-07,6.0,6.0,4,66.67
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,261668.0,2018-02-20,2018-02-21,53621.0,2018-02-20,MEDICAMENTOS,3305053,GI DEXMEDETOMIDINA 200MCG/2ML,A-19765,2018-02-20,70.0,70.0,35,50.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,261668.0,2018-02-20,2018-02-21,53621.0,2018-02-20,MEDICAMENTOS,3305053,GI DEXMEDETOMIDINA 200MCG/2ML,A-19810,2018-02-21,70.0,70.0,35,50.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,264092.0,2018-03-27,2018-03-28,54265.0,2018-03-27,MEDICAMENTOS,3305007,LIBONIDE 0.250 MG/ML FCO 2 ML (BUDESONIDA) PIEZA,A-20682,2018-03-27,150.0,150.0,90,60.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,264092.0,2018-03-27,2018-03-28,54265.0,2018-03-27,MEDICAMENTOS,3305007,LIBONIDE 0.250 MG/ML FCO 2 ML (BUDESONIDA) PIEZA,A-20723,2018-03-28,150.0,150.0,60,40.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,264612.0,2018-04-03,2018-04-04,54367.0,2018-04-03,MEDICAMENTOS,3304959,LEVAMIN NEP 5.4% FCO 250ML (AMINOACIDOS ESENCIALES),A-20803,2018-04-03,12.0,12.0,10,83.33
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,264612.0,2018-04-03,2018-04-04,54367.0,2018-04-03,MEDICAMENTOS,3304959,LEVAMIN NEP 5.4% FCO 250ML (AMINOACIDOS ESENCIALES),A-20824,2018-04-04,12.0,12.0,2,16.67
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,268123.0,2018-05-21,2018-05-22,55301.0,2018-05-21,MEDICAMENTOS,3301047,GI GENTAMICINA 20MG/2ML AMP (GARAMICINA),A-21860,2018-05-21,10.0,10.0,8,80.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,268123.0,2018-05-21,2018-05-22,55301.0,2018-05-21,MEDICAMENTOS,3301047,GI GENTAMICINA 20MG/2ML AMP (GARAMICINA),A-21893,2018-05-22,10.0,10.0,2,20.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,272302.0,2018-07-09,2018-07-10,0.0,,MEDICAMENTOS,3302376,CEFAXONA IV (CEFTRIAXONA) 1 G /10 ML FAM,,,0.0,3.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,273906.0,2018-07-26,2018-07-27,56574.0,2018-07-26,MEDICAMENTOS,3305090,PERFALGAN (PARACETAMOL)1G SOL INY 100ML AMP,,,72.0,72.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,274022.0,2018-07-30,2018-07-31,56630.0,2018-07-30,MEDICAMENTOS,3300410,ELECTROLIT ADULTO SABORES 625ML,A-23681,2018-07-30,5.0,5.0,3,60.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,274022.0,2018-07-30,2018-07-31,56630.0,2018-07-30,MEDICAMENTOS,3300410,ELECTROLIT ADULTO SABORES 625ML,A-23732,2018-07-31,5.0,5.0,2,40.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,274448.0,2018-08-02,2018-08-03,56699.0,2018-08-02,MEDICAMENTOS,3300410,ELECTROLIT ADULTO SABORES 625ML,A-23811,2018-08-02,5.0,5.0,4,80.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,274448.0,2018-08-02,2018-08-03,56699.0,2018-08-02,MEDICAMENTOS,3300410,ELECTROLIT ADULTO SABORES 625ML,A-23858,2018-08-03,5.0,5.0,1,20.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,278202.0,2018-09-20,2018-09-21,57631.0,2018-09-20,MEDICAMENTOS,3300398,PISDENO 6MG FCO AMP 2ML (ADENOSINA),A-25133,2018-09-20,10.0,12.0,6,50.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,278202.0,2018-09-20,2018-09-21,57631.0,2018-09-20,MEDICAMENTOS,3300398,PISDENO 6MG FCO AMP 2ML (ADENOSINA),A-25161,2018-09-21,10.0,12.0,6,50.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,279243.0,2018-10-03,2018-10-04,57865.0,2018-10-03,MEDICAMENTOS,3302376,CEFAXONA IV (CEFTRIAXONA) 1 G /10 ML FAM,A-25462,2018-10-03,5.0,5.0,3,60.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,279243.0,2018-10-03,2018-10-04,57865.0,2018-10-03,MEDICAMENTOS,3302376,CEFAXONA IV (CEFTRIAXONA) 1 G /10 ML FAM,A-25499,2018-10-04,5.0,5.0,2,40.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,281853.0,2018-10-31,2018-11-01,58398.0,2018-10-31,MEDICAMENTOS,3302139,HEPARINA 1000UI 10ML AMPOLLETA (INHEPAR),,,13.0,13.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,281853.0,2018-10-31,2018-11-01,58398.0,2018-10-31,MEDICAMENTOS,3300398,PISDENO 6MG FCO AMP 2ML (ADENOSINA),A-26217,2018-11-01,18.0,18.0,12,66.67
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,281853.0,2018-10-31,2018-11-01,58398.0,2018-10-31,MEDICAMENTOS,3300398,PISDENO 6MG FCO AMP 2ML (ADENOSINA),A-26255,2018-11-01,18.0,18.0,6,33.33
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,282044.0,2018-11-05,2018-11-06,58436.0,2018-11-05,MEDICAMENTOS,3302139,HEPARINA 1000UI 10ML AMPOLLETA (INHEPAR),,,10.0,10.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,284838.0,2018-12-12,2018-12-14,59125.0,2018-12-12,MEDICAMENTOS,3302102,CEFAXONA I.M. (CEFTRIAXONA) 1 G/3.5 ML FAM,A-27392,2018-12-13,7.0,7.0,5,71.43
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,284838.0,2018-12-12,2018-12-14,59125.0,2018-12-12,MEDICAMENTOS,3302102,CEFAXONA I.M. (CEFTRIAXONA) 1 G/3.5 ML FAM,A-27393,2018-12-13,7.0,7.0,2,28.57
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,285919.0,2018-12-27,2018-12-31,59377.0,2018-12-27,MEDICAMENTOS,3305053,GI DEXMEDETOMIDINA 200MCG/2ML,A-28348,2018-12-28,20.0,20.0,15,75.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,285962.0,2018-12-28,2018-12-31,59388.0,2018-12-28,MEDICAMENTOS,3304813,GI CEFALOTINA (FALOT) 1GR/5ML FRASCO ÁMPULA,,,15.0,15.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,285962.0,2018-12-28,2018-12-31,59388.0,2018-12-28,MEDICAMENTOS,3300398,PISDENO 6MG FCO AMP 2ML (ADENOSINA),,,6.0,6.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,285963.0,2018-12-28,2018-12-31,59389.0,2018-12-28,MEDICAMENTOS,3305053,GI DEXMEDETOMIDINA 200MCG/2ML,,,30.0,30.0,0,0.0
FARMACIA GUADALAJARA S.A. DE C.V.,262765.0,2018-03-07,2018-03-08,53898.0,2018-03-07,MEDICAMENTOS,3300568,VENTOLIN INHAL 5MG 10ML SOL.(SALBUTAMOL),,,3.0,2.0,0,0.0
FARMACIA GUADALAJARA S.A. DE C.V.,269041.0,2018-05-29,2018-05-30,55464.0,2018-05-29,MEDICAMENTOS,3300644,INHIBITRON 20MG C/28 CAPS(OMEPRAZOL ),,,2.0,1.0,0,0.0
FARMACIA GUADALAJARA S.A. DE C.V.,271162.0,2018-06-25,2018-06-26,55960.0,2018-06-25,MEDICAMENTOS,3300607,BACTROBAN (MUPIROCINA) 20 MG/G UNG 15 G,,,1.0,1.0,0,0.0
FARMACIA GUADALAJARA S.A. DE C.V.,273974.0,2018-07-27,2018-07-28,0.0,,MEDICAMENTOS,3304705,FLEET PS FOSFOSODA(LIMON-JENGIBRE)2.4G/0.9G/5ML,,,0.0,1.0,0,0.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",258841.0,2018-01-16,2018-01-17,52935.0,2018-01-16,MEDICAMENTOS,3302874,CERVARIX (PROTEINA L1 DEL VIRUS DEL PAPILOMA HUMANO TIPO 16 Y 18) 0.5 ML FAM,,,1.0,1.0,0,0.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",259189.0,2018-01-22,2018-01-23,53003.0,2018-01-22,MEDICAMENTOS,3304206,VIMPAT 200MG AMP 20ML (LACOSAMIDA),CEFA-122376,2018-01-22,10.0,10.0,6,60.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",259189.0,2018-01-22,2018-01-23,53003.0,2018-01-22,MEDICAMENTOS,3304206,VIMPAT 200MG AMP 20ML (LACOSAMIDA),FFA-118097,2018-01-22,10.0,10.0,4,40.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",259359.0,2018-01-24,2018-01-25,53085.0,2018-01-24,MEDICAMENTOS,3301437,UNAMOL 5MG C/30 CPR(CISAPRIDA),,,2.0,2.0,0,0.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",259515.0,2018-01-26,2018-01-27,53115.0,2018-01-26,MEDICAMENTOS,3301048,DAXON 500MG C/6 TAB(NITAZOXANIDA),,,5.0,5.0,0,0.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",259764.0,2018-01-29,2018-01-30,53140.0,2018-01-29,MEDICAMENTOS,3302118,HALDOL (HALOPERIDOL) 2 MG/ML GOTAS 15ML,,,2.0,2.0,0,0.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",259764.0,2018-01-29,2018-01-30,53140.0,2018-01-29,MEDICAMENTOS,3300763,HYZAAR 50/12.5MG C/15 TAB(LOSARTAN/HIDROCLOROTIAZIDA),,,1.0,1.0,0,0.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",259832.0,2018-01-30,2018-01-31,53193.0,2018-01-30,MEDICAMENTOS,3302118,HALDOL (HALOPERIDOL) 2 MG/ML GOTAS 15ML,FFA-118503,2018-01-30,2.0,2.0,1,50.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",260042.0,2018-02-01,2018-02-02,53227.0,2018-02-01,MEDICAMENTOS,3304206,VIMPAT 200MG AMP 20ML (LACOSAMIDA),,,5.0,3.0,0,0.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",260354.0,2018-02-06,2018-02-07,53280.0,2018-02-06,MEDICAMENTOS,3301029,BISOLVON ADULTO (BROMHEXINA) 160 MG/100 ML SOL 120 ML,,,2.0,2.0,0,0.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",261399.0,2018-02-16,2018-02-19,53528.0,2018-02-16,MEDICAMENTOS,3302002,FRAXIPARINE 0.6ML JERINGA PRELLENADA C/2 (ANTI XA DE NADROP,CAFA-123660,2018-02-16,5.0,5.0,3,60.0
"FARMACOS ESPECIALIZADOS, S.A. DE C.V.",262760.0,2018-03-07,2018-03-08,53898.0,2018-03-07,MEDICAMENTOS,3301070,VYTORIN 10/10MG C/14 TABS.(EZETIMIBA/SIMVASTATINA),,,3.0,3.0,0,0.0
