YearMonth,MedCode,RequestNumber,AmountRequested,AmountPurchased,AmountReceived,AmountMissing,AmountConsumed,AmountInventory,seccion final,SP,SP M,SP-PV,OP,PV,fecha ordinal,cantidad consumida
01/01/2018,3302669,688600,1800,1800,1800,0,1869,-69,,204.89466,307.34199,307.34199,,,,
01/02/2018,3302669,480785,1100,1100,1100,0,1236,-136,,204.89466,307.34199,307.34199,,,,
01/03/2018,3302669,377945,1050,1050,1050,0,1011,39,,204.89466,307.34199,307.34199,,,,
01/04/2018,3302669,381889,1040,1040,770,270,737,33,,204.89466,307.34199,307.34199,,,,
01/05/2018,3302669,276366,520,520,520,0,732,-212,,204.89466,307.34199,307.34199,,,,
01/06/2018,3302669,390098,700,700,610,90,674,-64,,204.89466,307.34199,307.34199,,,,
01/07/2018,3302669,508000,850,850,850,0,968,-118,,204.89466,307.34199,307.34199,,,,
01/08/2018,3302669,341704,580,580,580,0,653,-73,,204.89466,307.34199,307.34199,,,,
01/09/2018,3302669,230696,500,500,500,0,653,-153,,204.89466,307.34199,307.34199,,,,
01/10/2018,3302669,987895,1420,1420,1270,150,1194,76,,204.89466,307.34199,307.34199,,,,
01/11/2018,3302669,704269,950,950,900,50,1063,-163,,204.89466,307.34199,307.34199,,,,
01/12/2018,3302669,650717,1200,1300,1300,-100,1282,18,,204.89466,307.34199,307.34199,,,,
01/01/2019,3302669,1133801,2600,1960,1630,970,2116,-486,,204.89466,307.34199,307.34199,,,,
01/02/2019,3302669,240952,650,0,0,650,758,-758,,204.89466,307.34199,307.34199,,,,
01/03/2019,3302669,121726,200,250,250,-50,83,167,83,204.89466,307.34199,307.34199,,,43525,186.195
01/04/2019,3302669,183686,250,250,250,0,200,50,200,204.89466,307.34199,307.34199,,,43556,190.4048
01/05/2019,3302669,123999,70,70,70,0,275,-205,275,204.89466,307.34199,307.34199,,,43586,194.4788
01/06/2019,3302669,498606,230,230,230,0,278,-48,278,204.89466,307.34199,307.34199,,,43617,198.6886
01/07/2019,3302669,439929,190,190,190,0,188,2,188,204.89466,307.34199,307.34199,,,43647,202.7626
01/08/2019,3302669,824795,310,310,310,0,318,-8,318,204.89466,307.34199,307.34199,,,43678,206.9724
01/09/2019,3302669,255689,80,80,80,0,97,-17,97,204.89466,307.34199,307.34199,,,43709,211.1822
01/10/2019,3302669,323806,100,100,100,0,102,-2,102,204.89466,307.34199,307.34199,,,43739,215.2562
01/11/2019,3302669,392214,200,200,200,0,239,-39,239,204.89466,307.34199,307.34199,,,43770,219.466
01/12/2019,3302669,658709,260,260,260,0,271,-11,271,204.89466,307.34199,307.34199,553.215582,0,43800,223.54
01/01/2020,,,,,,,,,,204.89466,307.34199,307.34199,553.215582,0,43831,227.7498
08/01/2020,,,,,,,,,,204.89466,307.34199,207.0993265,272.5361243,100.2426635,43838,228.7004
15/01/2020,,,,,,,,,,204.89466,307.34199,125.030658,142.9865158,182.311332,43845,229.651
22/01/2020,,,,,,,,,,204.89466,307.34199,57.84103901,36.92425125,249.500951,43852,230.6016
29/01/2020,,,,,,,,,,204.89466,307.34199,2.832897964,-49.90892471,304.509092,43859,231.5522
05/02/2020,,,,,,,,,,204.89466,307.34199,8.656850624,21.40628378,298.6851394,43866,232.5028
12/02/2020,,,,,,,,,,204.89466,307.34199,36.89930974,94.66121664,270.4426803,43873,233.4534
19/02/2020,,,,,,,,,,204.89466,307.34199,79.23989334,184.9723916,228.1020967,43880,234.404
26/02/2020,,,,,,,,,,204.89466,307.34199,129.6383006,283.7473484,177.7036894,43887,235.3546
04/03/2020,,,,,,,,,,204.89466,307.34199,157.9771609,312.6977499,149.3648291,43894,236.3052
11/03/2020,,,,,,,,,,204.89466,307.34199,167.9043919,312.1551366,139.4375981,43901,237.2558
18/03/2020,,,,,,,,,,204.89466,307.34199,159.6674311,279.1644152,147.6745589,43908,238.2064
25/03/2020,,,,,,,,,,204.89466,307.34199,135.0258091,218.4048344,172.3161809,,
01/04/2020,,,,,,,,,,204.89466,307.34199,109.6059004,171.8707121,197.7360896,,
08/04/2020,,,,,,,,,,204.89466,307.34199,88.89294272,139.2943392,218.4490473,,
15/04/2020,,,,,,,,,,204.89466,307.34199,77.91316297,129.2639136,229.428827,,
22/04/2020,,,,,,,,,,204.89466,307.34199,79.93365331,145.9010663,227.4083367,,
29/04/2020,,,,,,,,,,204.89466,307.34199,90.01981172,172.1218195,217.3221783,,
06/05/2020,,,,,,,,,,204.89466,307.34199,104.1801884,201.6847157,203.1618016,,
13/05/2020,,,,,,,,,,204.89466,307.34199,117.5908019,225.0740569,189.7511881,,
20/05/2020,,,,,,,,,,204.89466,307.34199,125.5554191,233.9643715,181.7865709,,
27/05/2020,,,,,,,,,,204.89466,307.34199,127.3248507,230.9541628,180.0171393,,
03/06/2020,,,,,,,,,,204.89466,307.34199,123.4166875,218.2418744,183.9253025,,
10/06/2020,,,,,,,,,,204.89466,307.34199,115.9789258,201.3243046,191.3630642,,
17/06/2020,,,,,,,,,,204.89466,307.34199,108.2787052,187.2014488,199.0632848,,
24/06/2020,,,,,,,,,,204.89466,307.34199,102.5199844,178.7772512,204.8220056,,
