YearMonth,MedCode,RequestNumber,AmountRequested,AmountPurchased,AmountReceived,AmountMissing,AmountConsumed,AmountInventory,seccion final,SP,SP M,SP-PV,OP,PV,fecha ordinal,cantidad consumida,promedio,
01/01/2018,3302934,211905,9,7,7,2,6,1,,7.65311,11.479665,11.479665,,,,,,
01/02/2018,3302934,106893,4,4,4,0,7,-3,,7.65311,11.479665,11.479665,,,,,,
01/03/2018,3302934,270482,16,16,16,0,8,8,,7.65311,11.479665,11.479665,,,,,,
01/04/2018,3302934,54684,1,1,1,0,4,-3,,7.65311,11.479665,11.479665,,,,,,
01/05/2018,3302934,55296,2,2,2,0,6,-4,,7.65311,11.479665,11.479665,,,,,,
01/06/2018,3302934,111548,2,2,2,0,3,-1,,7.65311,11.479665,11.479665,,,,,,
01/07/2018,3302934,226181,4,4,4,0,4,0,,7.65311,11.479665,11.479665,,,,,,
01/08/2018,3302934,0,0,0,0,0,11,-11,,7.65311,11.479665,11.479665,,,,,,
01/09/2018,3302934,288147,10,10,10,0,11,-1,,7.65311,11.479665,11.479665,,,,,,
01/10/2018,3302934,174235,6,6,6,0,3,3,,7.65311,11.479665,11.479665,,,,,,
01/11/2018,3302934,58456,2,2,2,0,5,-3,,7.65311,11.479665,11.479665,,,,,,
01/12/2018,3302934,59355,1,1,1,0,1,0,,7.65311,11.479665,11.479665,,,,,,
01/01/2019,3302934,358015,10,10,10,0,9,1,,7.65311,11.479665,11.479665,,,,,,
01/02/2019,3302934,120700,2,2,2,0,6,-4,,7.65311,11.479665,11.479665,,,,,,
01/03/2019,3302934,182074,5,2,2,3,5,-3,5,7.65311,11.479665,11.479665,,,43525,6.3725,7.65311,11.479665
01/04/2019,3302934,183584,9,9,9,0,5,4,5,7.65311,11.479665,11.479665,,,43556,6.6608,,
01/05/2019,3302934,309202,7,7,7,0,6,1,6,7.65311,11.479665,11.479665,,,43586,6.9398,,
01/06/2019,3302934,124672,3,3,3,0,5,-2,5,7.65311,11.479665,11.479665,,,43617,7.2281,,
01/07/2019,3302934,377409,10,10,10,0,9,1,9,7.65311,11.479665,11.479665,,,43647,7.5071,,
01/08/2019,3302934,253478,4,4,4,0,4,0,4,7.65311,11.479665,11.479665,,,43678,7.7954,,
01/09/2019,3302934,127915,4,4,4,0,7,-3,7,7.65311,11.479665,11.479665,,,43709,8.0837,,
01/10/2019,3302934,452640,10,10,10,0,9,1,9,7.65311,11.479665,11.479665,,,43739,8.3627,,
01/11/2019,3302934,130698,2,2,2,0,3,-1,3,7.65311,11.479665,11.479665,,,43770,8.651,,
01/12/2019,3302934,328838,10,10,10,0,10,0,10,7.65311,11.479665,11.479665,20.663397,0,43800,8.93,,
01/01/2020,,,,,,,,,,7.65311,11.479665,11.479665,20.663397,0,43831,9.2183,,
08/01/2020,,,,,,,,,,7.65311,11.479665,7.735457464,10.1796159,3.744207536,43838,9.2834,,
15/01/2020,,,,,,,,,,7.65311,11.479665,4.670074754,5.340751846,6.809590246,43845,9.3485,,
22/01/2020,,,,,,,,,,7.65311,11.479665,2.160445929,1.379173847,9.319219071,43852,9.4136,,
29/01/2020,,,,,,,,,,7.65311,11.479665,0.10581281,-1.864170061,11.37385219,43859,9.4787,,
05/02/2020,,,,,,,,,,7.65311,11.479665,0.323345811,0.799555462,11.15631919,43866,9.5438,,
12/02/2020,,,,,,,,,,7.65311,11.479665,1.378242246,3.535732477,10.10142275,43873,9.6089,,
19/02/2020,,,,,,,,,,7.65311,11.479665,2.95972389,6.908984646,8.51994111,43880,9.674,,
26/02/2020,,,,,,,,,,7.65311,11.479665,4.842176828,10.59837123,6.637488172,43887,9.7391,,
04/03/2020,,,,,,,,,,7.65311,11.479665,5.900673984,11.67971033,5.578991016,43894,9.8042,,
11/03/2020,,,,,,,,,,7.65311,11.479665,6.271470331,11.65944294,5.208194669,43901,9.8693,,
18/03/2020,,,,,,,,,,7.65311,11.479665,5.963808006,10.42719209,5.515856994,43908,9.9344,,
25/03/2020,,,,,,,,,,7.65311,11.479665,5.043408012,8.157734429,6.436256988,,,,
01/04/2020,,,,,,,,,,7.65311,11.479665,4.093937893,6.419618088,7.385727107,,,,
08/04/2020,,,,,,,,,,7.65311,11.479665,3.320279157,5.202843745,8.159385843,,,,
15/04/2020,,,,,,,,,,7.65311,11.479665,2.910168604,4.828192934,8.569496396,,,,
22/04/2020,,,,,,,,,,7.65311,11.479665,2.985636822,5.449614498,8.494028178,,,,
29/04/2020,,,,,,,,,,7.65311,11.479665,3.362369333,6.428997311,8.117295667,,,,
06/05/2020,,,,,,,,,,7.65311,11.479665,3.891279751,7.533213969,7.588385249,,,,
13/05/2020,,,,,,,,,,7.65311,11.479665,4.392185437,8.406839472,7.087479563,,,,
20/05/2020,,,,,,,,,,7.65311,11.479665,4.689675335,8.7389055,6.789989665,,,,
27/05/2020,,,,,,,,,,7.65311,11.479665,4.755766148,8.626469881,6.723898852,,,,
03/06/2020,,,,,,,,,,7.65311,11.479665,4.609790639,8.151647641,6.869874361,,,,
10/06/2020,,,,,,,,,,7.65311,11.479665,4.331979548,7.519752096,7.147685452,,,,
17/06/2020,,,,,,,,,,7.65311,11.479665,4.044365244,6.992243135,7.435299756,,,,
24/06/2020,,,,,,,,,,7.65311,11.479665,3.829268747,6.677587249,7.650396253,,,,
