YearMonth,MedCode,RequestNumber,AmountRequested,AmountPurchased,AmountReceived,AmountMissing,AmountConsumed,AmountInventory,seccion final,SP,SP M,SP-PV,OP,PV,fecha ordinal,cantidad consumida,promedio,
01/01/2018,3302307,0,0,0,0,0,31,-31,,64.76528,97.14792,97.14792,,,,,,
01/02/2018,3302307,107175,42,42,42,0,44,-2,,64.76528,97.14792,97.14792,,,,,,
01/03/2018,3302307,53801,18,18,18,0,23,-5,,64.76528,97.14792,97.14792,,,,,,
01/04/2018,3302307,218148,78,78,54,24,48,6,,64.76528,97.14792,97.14792,,,,,,
01/05/2018,3302307,55087,18,18,18,0,29,-11,,64.76528,97.14792,97.14792,,,,,,
01/06/2018,3302307,223032,120,120,120,0,71,49,,64.76528,97.14792,97.14792,,,,,,
01/07/2018,3302307,0,0,0,0,0,73,-73,,64.76528,97.14792,97.14792,,,,,,
01/08/2018,3302307,113792,48,48,48,0,45,3,,64.76528,97.14792,97.14792,,,,,,
01/09/2018,3302307,172533,72,72,54,18,45,9,,64.76528,97.14792,97.14792,,,,,,
01/10/2018,3302307,465508,207,99,63,144,54,9,,64.76528,97.14792,97.14792,,,,,,
01/11/2018,3302307,410721,132,81,15,117,69,-54,,64.76528,97.14792,97.14792,,,,,,
01/12/2018,3302307,532441,264,36,0,264,36,-36,,64.76528,97.14792,97.14792,,,,,,
01/01/2019,3302307,178645,108,0,0,108,4,-4,,64.76528,97.14792,97.14792,,,,,,
01/02/2019,3302307,0,0,0,0,0,1,-1,,64.76528,97.14792,97.14792,,,,,,
01/03/2019,3302307,0,0,0,0,0,7,-7,7,64.76528,97.14792,97.14792,,,43525,47.36,64.76528,97.14792
01/04/2019,3302307,0,0,0,0,0,17,-17,17,64.76528,97.14792,97.14792,,,43556,51.2784,,
01/05/2019,3302307,0,0,0,0,0,24,-24,24,64.76528,97.14792,97.14792,,,43586,55.0704,,
01/06/2019,3302307,0,0,0,0,0,44,-44,44,64.76528,97.14792,97.14792,,,43617,58.9888,,
01/07/2019,3302307,0,0,0,0,0,61,-61,61,64.76528,97.14792,97.14792,,,43647,62.7808,,
01/08/2019,3302307,0,0,0,0,0,112,-112,112,64.76528,97.14792,97.14792,,,43678,66.6992,,
01/09/2019,3302307,0,0,0,0,0,96,-96,96,64.76528,97.14792,97.14792,,,43709,70.6176,,
01/10/2019,3302307,0,0,0,0,0,95,-95,95,64.76528,97.14792,97.14792,,,43739,74.4096,,
01/11/2019,3302307,65285,30,0,0,30,61,-61,61,64.76528,97.14792,97.14792,,,43770,78.328,,
01/12/2019,3302307,132245,48,0,0,48,27,-27,27,64.76528,97.14792,97.14792,174.866256,0,43800,82.12,,
01/01/2020,,,,,,,,,,64.76528,97.14792,97.14792,174.866256,0,43831,86.0384,,
08/01/2020,,,,,,,,,,64.76528,97.14792,65.46215441,86.14611236,31.68576559,43838,86.9232,,
15/01/2020,,,,,,,,,,64.76528,97.14792,39.52101813,45.19669634,57.62690187,43845,87.808,,
22/01/2020,,,,,,,,,,64.76528,97.14792,18.28300985,11.67140945,78.86491015,43852,88.6928,,
29/01/2020,,,,,,,,,,64.76528,97.14792,0.895452472,-15.77574293,96.25246753,43859,89.5776,,
05/02/2020,,,,,,,,,,64.76528,97.14792,2.736349276,6.766325501,94.41157072,43866,90.4624,,
12/02/2020,,,,,,,,,,64.76528,97.14792,11.66352567,29.9215226,85.48439433,43873,91.3472,,
19/02/2020,,,,,,,,,,64.76528,97.14792,25.04698697,58.46803785,72.10093303,43880,92.232,,
26/02/2020,,,,,,,,,,64.76528,97.14792,40.97745075,89.68987512,56.17046925,43887,93.1168,,
04/03/2020,,,,,,,,,,64.76528,97.14792,49.93509864,98.84082545,47.21282136,43894,94.0016,,
11/03/2020,,,,,,,,,,64.76528,97.14792,53.07300326,98.66931048,44.07491674,43901,94.8864,,
18/03/2020,,,,,,,,,,64.76528,97.14792,50.46937721,88.24125292,46.67854279,43908,95.7712,,
25/03/2020,,,,,,,,,,64.76528,97.14792,42.68039164,69.03571939,54.46752836,,,,
01/04/2020,,,,,,,,,,64.76528,97.14792,34.64539696,54.32671985,62.50252304,,,,
08/04/2020,,,,,,,,,,64.76528,97.14792,28.09822533,44.02963396,69.04969467,,,,
15/04/2020,,,,,,,,,,64.76528,97.14792,24.62761994,40.85911052,72.52030006,,,,
22/04/2020,,,,,,,,,,64.76528,97.14792,25.26627799,46.11795843,71.88164201,,,,
29/04/2020,,,,,,,,,,64.76528,97.14792,28.45441805,54.40609255,68.69350195,,,,
06/05/2020,,,,,,,,,,64.76528,97.14792,32.93038028,63.75064673,64.21753972,,,,
13/05/2020,,,,,,,,,,64.76528,97.14792,37.16934941,71.14379806,59.97857059,,,,
20/05/2020,,,,,,,,,,64.76528,97.14792,39.68689019,73.95394312,57.46102981,,,,
27/05/2020,,,,,,,,,,64.76528,97.14792,40.24619092,73.0024444,56.90172908,,,,
03/06/2020,,,,,,,,,,64.76528,97.14792,39.01085722,68.98420928,58.13706278,,,,
10/06/2020,,,,,,,,,,64.76528,97.14792,36.65985049,63.63672416,60.48806951,,,,
17/06/2020,,,,,,,,,,64.76528,97.14792,34.225883,59.17262191,62.922037,,,,
24/06/2020,,,,,,,,,,64.76528,97.14792,32.40560538,56.50981207,64.74231462,,,,
