YearMonth,MedCode,RequestNumber,AmountRequested,AmountPurchased,AmountReceived,AmountMissing,AmountConsumed,AmountInventory,seccion final,SP,SP M,SP-PV,OP,PV,fecha ordinal,cantidad consumida,promedio,
01/01/2018,3301778,317771,270,270,270,0,401,-131,,59.84428,89.76642,89.76642,,,,,,
01/02/2018,3301778,160005,160,160,160,0,130,30,,59.84428,89.76642,89.76642,,,,,,
01/03/2018,3301778,108496,60,60,60,0,164,-104,,59.84428,89.76642,89.76642,,,,,,
01/04/2018,3301778,381529,270,270,200,70,158,42,,59.84428,89.76642,89.76642,,,,,,
01/05/2018,3301778,0,0,0,0,0,47,-47,,59.84428,89.76642,89.76642,,,,,,
01/06/2018,3301778,55908,20,20,20,0,69,-49,,59.84428,89.76642,89.76642,,,,,,
01/07/2018,3301778,112976,60,60,60,0,48,12,,59.84428,89.76642,89.76642,,,,,,
01/08/2018,3301778,113886,40,40,40,0,72,-32,,59.84428,89.76642,89.76642,,,,,,
01/09/2018,3301778,115070,50,50,50,0,72,-22,,59.84428,89.76642,89.76642,,,,,,
01/10/2018,3301778,464790,170,170,170,0,133,37,,59.84428,89.76642,89.76642,,,,,,
01/11/2018,3301778,117647,40,40,40,0,69,-29,,59.84428,89.76642,89.76642,,,,,,
01/12/2018,3301778,473136,120,140,140,-20,114,26,,59.84428,89.76642,89.76642,,,,,,
01/01/2019,3301778,835698,340,340,280,60,278,2,,59.84428,89.76642,89.76642,,,,,,
01/02/2019,3301778,1083838,260,290,270,-10,291,-21,,59.84428,89.76642,89.76642,,,,,,
01/03/2019,3301778,546414,110,110,110,0,143,-33,,59.84428,89.76642,89.76642,,,43525,74.11,59.84428,89.76642
01/04/2019,3301778,796706,220,220,220,0,215,5,,59.84428,89.76642,89.76642,,,43556,70.8984,,
01/05/2019,3301778,123643,20,20,20,0,40,-20,40,59.84428,89.76642,89.76642,,,43586,67.7904,,
01/06/2019,3301778,373992,55,60,60,-5,65,-5,65,59.84428,89.76642,89.76642,,,43617,64.5788,,
01/07/2019,3301778,565773,90,90,90,0,92,-2,92,59.84428,89.76642,89.76642,,,43647,61.4708,,
01/08/2019,3301778,444278,80,80,70,10,84,-14,84,59.84428,89.76642,89.76642,,,43678,58.2592,,
01/09/2019,3301778,128015,20,20,20,0,23,-3,23,59.84428,89.76642,89.76642,,,43709,55.0476,,
01/10/2019,3301778,388325,70,70,50,20,46,4,46,59.84428,89.76642,89.76642,,,43739,51.9396,,
01/11/2019,3301778,261687,40,30,10,30,42,-32,42,59.84428,89.76642,89.76642,,,43770,48.728,,
01/12/2019,3301778,659570,150,20,20,130,47,-27,47,59.84428,89.76642,89.76642,161.579556,0,43800,45.62,,
01/01/2020,,,,,,,,,,59.84428,89.76642,89.76642,161.579556,0,43831,42.4084,,
08/01/2020,,,,,,,,,,59.84428,89.76642,60.48820445,79.60055247,29.27821555,43838,41.6832,,
15/01/2020,,,,,,,,,,59.84428,89.76642,36.51812938,41.76255782,53.24829062,43845,40.958,,
22/01/2020,,,KP,1,,,,,,59.84428,89.76642,16.89382893,10.78459161,72.87259107,43852,40.2328,,
29/01/2020,,,KI,0.4,,,,,,59.84428,89.76642,0.82741414,-14.57706933,88.93900586,43859,39.5076,,
05/02/2020,,,KD,1.4,,,,,,59.84428,89.76642,2.528435795,6.252206087,87.2379842,43866,38.7824,,
12/02/2020,,,,,,,,,,59.84428,89.76642,10.77730685,27.6480234,78.98911315,43873,38.0572,,
19/02/2020,,,a,-0.8187,,,,,,59.84428,89.76642,23.14386507,54.02551534,66.62255493,43880,37.332,,
26/02/2020,,,b,0.1812,,,,,,59.84428,89.76642,37.86389924,82.87505281,51.90252076,43887,36.6068,,
04/03/2020,,,,,,,,,,59.84428,89.76642,46.14092651,91.33069499,43.62549349,43894,35.8816,,
11/03/2020,,,,,,,,,,59.84428,89.76642,49.04040664,91.17221208,40.72601336,43901,35.1564,,
18/03/2020,,,,,,,,,,59.84428,89.76642,46.63460948,81.53649991,43.13181052,43908,34.4312,,
25/03/2020,,,,,,,,,,59.84428,89.76642,39.43744716,63.79024257,50.32897284,,,,
01/04/2020,,,,,,,,,,59.84428,89.76642,32.01296801,50.19886325,57.75345199,,,,
08/04/2020,,,,,,,,,,59.84428,89.76642,25.96326402,40.68417126,63.80315598,,,,
15/04/2020,,,,,,,,,,59.84428,89.76642,22.75636242,37.75455074,67.01005758,,,,
22/04/2020,,,,,,,,,,59.84428,89.76642,23.3464939,42.61382051,66.4199261,,,,
29/04/2020,,,,,,,,,,59.84428,89.76642,26.29239248,50.27220505,63.47402752,,,,
06/05/2020,,,,,,,,,,59.84428,89.76642,30.42826184,58.90674067,59.33815816,,,,
13/05/2020,,,,,,,,,,59.84428,89.76642,34.34514532,65.73814505,55.42127468,,,,
20/05/2020,,,,,,,,,,59.84428,89.76642,36.67139814,68.33476948,53.09502186,,,,
27/05/2020,,,,,,,,,,59.84428,89.76642,37.18820205,67.4555676,52.57821795,,,,
03/06/2020,,,,,,,,,,59.84428,89.76642,36.04673156,63.7426463,53.71968844,,,,
10/06/2020,,,,,,,,,,59.84428,89.76642,33.87435919,58.80147417,55.89206081,,,,
17/06/2020,,,,,,,,,,59.84428,89.76642,31.62532958,54.67656364,58.14109042,,,,
24/06/2020,,,,,,,,,,59.84428,89.76642,29.94336043,52.21607961,59.82305957,,,,
