YearMonth,MedCode,RequestNumber,AmountRequested,AmountPurchased,AmountReceived,AmountMissing,AmountConsumed,AmountInventory,seccion final,SP,SP M,SP-PV,OP,PV,fecha ordinal,cantidad consumida,promedio,
01/01/2018,3300115,370633,75,55,55,20,58,-3,,2.91904,4.37856,4.37856,,,,,,
01/02/2018,3300115,320822,70,70,70,0,71,-1,,2.91904,4.37856,4.37856,,,,,,
01/03/2018,3300115,594453,97,97,97,0,78,19,,2.91904,4.37856,4.37856,,,,,,
01/04/2018,3300115,765156,73,73,57,16,69,-12,,2.91904,4.37856,4.37856,,,,,,
01/05/2018,3300115,331102,35,35,35,0,47,-12,,2.91904,4.37856,4.37856,,,,,,
01/06/2018,3300115,446330,40,40,40,0,41,-1,,2.91904,4.37856,4.37856,,,,,,
01/07/2018,3300115,563487,51,51,35,16,35,0,,2.91904,4.37856,4.37856,,,,,,
01/08/2018,3300115,569653,44,44,44,0,43,1,,2.91904,4.37856,4.37856,,,,,,
01/09/2018,3300115,287768,33,33,33,0,43,-10,,2.91904,4.37856,4.37856,,,,,,
01/10/2018,3300115,232649,24,24,24,0,32,-8,,2.91904,4.37856,4.37856,,,,,,
01/11/2018,3300115,234476,24,24,24,0,21,3,,2.91904,4.37856,4.37856,,,,,,
01/12/2018,3300115,118182,12,12,12,0,8,4,,2.91904,4.37856,4.37856,,,,,,
01/01/2019,3300115,119416,12,12,12,0,9,3,,2.91904,4.37856,4.37856,,,,,,
01/02/2019,3300115,120398,9,9,9,0,2,7,,2.91904,4.37856,4.37856,,,,,,
01/03/2019,3300115,60627,4,4,4,0,5,-1,5,2.91904,4.37856,4.37856,,,43525,3.58,2.91904,4.37856
01/04/2019,3300115,0,0,0,0,0,4,-4,4,2.91904,4.37856,4.37856,,,43556,3.4312,,
01/05/2019,3300115,185783,5,5,3,2,6,-3,6,2.91904,4.37856,4.37856,,,43586,3.2872,,
01/06/2019,3300115,187141,4,4,4,0,5,-1,5,2.91904,4.37856,4.37856,,,43617,3.1384,,
01/07/2019,3300115,125608,2,2,2,0,4,-2,4,2.91904,4.37856,4.37856,,,43647,2.9944,,
01/08/2019,3300115,63366,2,2,2,0,4,-2,4,2.91904,4.37856,4.37856,,,43678,2.8456,,
01/09/2019,3300115,128407,5,5,5,0,4,1,4,2.91904,4.37856,4.37856,,,43709,2.6968,,
01/10/2019,3300115,129364,2,2,2,0,4,-2,4,2.91904,4.37856,4.37856,,,43739,2.5528,,
01/11/2019,3300115,261429,6,6,5,1,5,0,5,2.91904,4.37856,4.37856,,,43770,2.404,,
01/12/2019,3300115,197339,4,4,4,0,3,1,3,2.91904,4.37856,4.37856,7.881408,0,43800,2.26,,
01/01/2020,,,,,,,,,,2.91904,4.37856,4.37856,7.881408,0,43831,2.1112,,
08/01/2020,,,,,,,,,,2.91904,4.37856,2.95044887,3.882696837,1.42811113,43838,2.0776,,
15/01/2020,,,,,,,,,,2.91904,4.37856,1.781254289,2.037063138,2.597305711,43845,2.044,,
22/01/2020,,,,,,,,,,2.91904,4.37856,0.824034684,0.526042828,3.554525316,43852,2.0104,,
29/01/2020,,,,,,,,,,2.91904,4.37856,0.040358995,-0.7110295,4.338201005,43859,1.9768,,
05/02/2020,,,,,,,,,,2.91904,4.37856,0.12333017,0.304965481,4.25522983,43866,1.9432,,
12/02/2020,,,,,,,,,,2.91904,4.37856,0.525687498,1.348594823,3.852872502,43873,1.9096,,
19/02/2020,,,,,,,,,,2.91904,4.37856,1.128894322,2.635216604,3.249665678,43880,1.876,,
26/02/2020,,,,,,,,,,2.91904,4.37856,1.846897255,4.042417991,2.531662745,43887,1.8424,,
04/03/2020,,,,,,,,,,2.91904,4.37856,2.250627965,4.454861048,2.127932035,43894,1.8088,,
11/03/2020,,,,,,,,,,2.91904,4.37856,2.392056661,4.447130686,1.986503339,43901,1.7752,,
18/03/2020,,,,,,,,,,2.91904,4.37856,2.274708468,3.977127049,2.103851532,43908,1.7416,,
25/03/2020,,,,,,,,,,2.91904,4.37856,1.923650611,3.111513242,2.454909389,,,,
01/04/2020,,,,,,,,,,2.91904,4.37856,1.561504861,2.448563,2.817055139,,,,
08/04/2020,,,,,,,,,,2.91904,4.37856,1.266416877,1.984462396,3.112143123,,,,
15/04/2020,,,,,,,,,,2.91904,4.37856,1.109993004,1.841563535,3.268566996,,,,
22/04/2020,,,,,,,,,,2.91904,4.37856,1.138778001,2.078585399,3.239781999,,,,
29/04/2020,,,,,,,,,,2.91904,4.37856,1.282470862,2.452140412,3.096089138,,,,
06/05/2020,,,,,,,,,,2.91904,4.37856,1.484207237,2.8733094,2.894352763,,,,
13/05/2020,,,,,,,,,,2.91904,4.37856,1.67526208,3.206526588,2.70329792,,,,
20/05/2020,,,,,,,,,,2.91904,4.37856,1.788730319,3.333182812,2.589829681,,,,
27/05/2020,,,,,,,,,,2.91904,4.37856,1.813938597,3.290297753,2.564621403,,,,
03/06/2020,,,,,,,,,,2.91904,4.37856,1.758260794,3.109191626,2.620299206,,,,
10/06/2020,,,,,,,,,,2.91904,4.37856,1.652298423,2.868174789,2.726261577,,,,
17/06/2020,,,,,,,,,,2.91904,4.37856,1.542596921,2.666972956,2.835963079,,,,
24/06/2020,,,,,,,,,,2.91904,4.37856,1.460555074,2.546957287,2.918004926,,,,
