YearMonth,MedCode,RequestNumber,AmountRequested,AmountPurchased,AmountReceived,AmountMissing,AmountConsumed,AmountInventory,seccion final,SP,SP M,SP-PV,OP,PV,fecha ordinal,cantidad consumida,promedio,
01/01/2018,3500322,264185,90,70,70,20,44,26,,94.34505,141.517575,141.517575,,,,,,
01/02/2018,3500322,53642,10,10,10,0,41,-31,,94.34505,141.517575,141.517575,,,,,,
01/03/2018,3500322,324198,74,74,74,0,74,0,,94.34505,141.517575,141.517575,,,,,,
01/04/2018,3500322,491886,43,43,43,0,43,0,,94.34505,141.517575,141.517575,,,,,,
01/05/2018,3500322,330985,34,34,31,3,42,-11,,94.34505,141.517575,141.517575,,,,,,
01/06/2018,3500322,335269,35,35,35,0,22,13,,94.34505,141.517575,141.517575,,,,,,
01/07/2018,3500322,395183,36,36,36,0,37,-1,,94.34505,141.517575,141.517575,,,,,,
01/08/2018,3500322,342086,21,21,21,0,43,-22,,94.34505,141.517575,141.517575,,,,,,
01/09/2018,3500322,460503,43,43,43,0,43,0,,94.34505,141.517575,141.517575,,,,,,
01/10/2018,3500322,348647,37,37,37,0,37,0,,94.34505,141.517575,141.517575,,,,,,
01/11/2018,3500322,176285,20,20,20,0,20,0,,94.34505,141.517575,141.517575,,,,,,
01/12/2018,3500322,236631,16,16,16,0,24,-8,,94.34505,141.517575,141.517575,,,,,,
01/01/2019,3500322,417645,56,56,56,0,37,19,,94.34505,141.517575,141.517575,,,,,,
01/02/2019,3500322,240943,20,20,20,0,22,-2,,94.34505,141.517575,141.517575,,,,,,
01/03/2019,3500322,485841,40,40,40,0,42,-2,42,94.34505,141.517575,141.517575,,,43525,76.2375,94.34505,141.517575
01/04/2019,3500322,673457,82,82,82,0,70,12,70,94.34505,141.517575,141.517575,,,43556,80.314,,
01/05/2019,3500322,1051004,115,115,115,0,107,8,107,94.34505,141.517575,141.517575,,,43586,84.259,,
01/06/2019,3500322,873383,99,99,85,14,95,-10,95,94.34505,141.517575,141.517575,,,43617,88.3355,,
01/07/2019,3500322,943324,103,103,103,0,115,-12,115,94.34505,141.517575,141.517575,,,43647,92.2805,,
01/08/2019,3500322,697296,106,106,106,0,100,6,100,94.34505,141.517575,141.517575,,,43678,96.357,,
01/09/2019,3500322,704414,126,126,126,0,116,10,116,94.34505,141.517575,141.517575,,,43709,100.4335,,
01/10/2019,3500322,971176,125,127,127,-2,146,-19,146,94.34505,141.517575,141.517575,,,43739,104.3785,,
01/11/2019,3500322,848774,92,92,92,0,89,3,89,94.34505,141.517575,141.517575,,,43770,108.455,,
01/12/2019,3500322,593786,70,70,70,0,74,-4,74,94.34505,141.517575,141.517575,254.731635,0,43800,112.4,,
01/01/2020,,,,,,,,,,94.34505,141.517575,141.517575,254.731635,0,43831,116.4765,,
08/01/2020,,,,,,,,,,94.34505,141.517575,95.36020274,125.4909927,46.15737226,43838,117.397,,
15/01/2020,,,,,,,,,,94.34505,141.517575,57.57116207,65.83905105,83.94641293,43845,118.3175,,
22/01/2020,,,,,,,,,,94.34505,141.517575,26.63327447,17.00200645,114.8843005,43852,119.238,,
29/01/2020,,,,,,,,,,94.34505,141.517575,1.304425894,-22.98088197,140.2131491,43859,120.1585,,
05/02/2020,,,,,,,,,,94.34505,141.517575,3.986101956,9.856659582,137.531473,43866,121.079,,
12/02/2020,,,,,,,,,,94.34505,141.517575,16.99052197,43.58735956,124.527053,43873,121.9995,,
19/02/2020,,,,,,,,,,94.34505,141.517575,36.48651311,85.17171475,105.0310619,43880,122.92,,
26/02/2020,,,,,,,,,,94.34505,141.517575,59.69278045,130.6532721,81.82479455,43887,123.8405,,
04/03/2020,,,,,,,,,,94.34505,141.517575,72.74158898,143.9836687,68.77598602,43894,124.761,,
11/03/2020,,,,,,,,,,94.34505,141.517575,77.3126457,143.733819,64.2049293,43901,125.6815,,
18/03/2020,,,,,,,,,,94.34505,141.517575,73.51988467,128.5430314,67.99769033,43908,126.602,,
25/03/2020,,,,,,,,,,94.34505,141.517575,62.17349301,100.5658958,79.34408199,,,,
01/04/2020,,,,,,,,,,94.34505,141.517575,50.46873431,79.13896305,91.04884069,,,,
08/04/2020,,,,,,,,,,94.34505,141.517575,40.93132113,64.13896485,100.5862539,,,,
15/04/2020,,,,,,,,,,94.34505,141.517575,35.87561167,59.52039155,105.6419633,,,,
22/04/2020,,,,,,,,,,94.34505,141.517575,36.80595931,67.1810744,104.7116157,,,,
29/04/2020,,,,,,,,,,94.34505,141.517575,41.45019513,79.25458705,100.0673799,,,,
06/05/2020,,,,,,,,,,94.34505,141.517575,47.97043067,92.86701074,93.54714433,,,,
13/05/2020,,,,,,,,,,94.34505,141.517575,54.14543299,103.6367817,87.37214201,,,,
20/05/2020,,,,,,,,,,94.34505,141.517575,57.81279165,107.7303836,83.70478335,,,,
27/05/2020,,,,,,,,,,94.34505,141.517575,58.6275377,106.3443139,82.8900373,,,,
03/06/2020,,,,,,,,,,94.34505,141.517575,56.82799912,100.4908598,84.68957588,,,,
10/06/2020,,,,,,,,,,94.34505,141.517575,53.40323438,92.70105715,88.11434062,,,,
17/06/2020,,,,,,,,,,94.34505,141.517575,49.85761882,86.19809831,91.65995618,,,,
24/06/2020,,,,,,,,,,94.34505,141.517575,47.20597919,82.31912293,94.31159581,,,,
