YearMonth,MedCode,RequestNumber,AmountRequested,AmountPurchased,AmountReceived,AmountMissing,AmountConsumed,AmountInventory,seccion final,SP,SP M,SP-PV,OP,PV,fecha ordinal,cantidad consumida,promedio,
01/01/2018,3300663,0,0,0,0,0,13,-13,,11.13615,16.704225,16.704225,,,,,,
01/02/2018,3300663,0,0,0,0,0,17,-17,,11.13615,16.704225,16.704225,,,,,,
01/03/2018,3300663,324259,75,75,75,0,79,-4,,11.13615,16.704225,16.704225,,,,,,
01/04/2018,3300663,381218,80,80,80,0,77,3,,11.13615,16.704225,16.704225,,,,,,
01/05/2018,3300663,0,0,0,0,0,52,-52,,11.13615,16.704225,16.704225,,,,,,
01/06/2018,3300663,334713,65,65,55,10,55,0,,11.13615,16.704225,16.704225,,,,,,
01/07/2018,3300663,0,0,0,0,0,11,-11,,11.13615,16.704225,16.704225,,,,,,
01/08/2018,3300663,57157,5,5,5,0,25,-20,,11.13615,16.704225,16.704225,,,,,,
01/09/2018,3300663,172727,25,25,10,15,25,-15,,11.13615,16.704225,16.704225,,,,,,
01/10/2018,3300663,173701,20,25,25,-5,13,12,,11.13615,16.704225,16.704225,,,,,,
01/11/2018,3300663,585864,106,106,101,5,97,4,,11.13615,16.704225,16.704225,,,,,,
01/12/2018,3300663,236674,35,45,45,-10,48,-3,,11.13615,16.704225,16.704225,,,,,,
01/01/2019,3300663,596756,84,84,84,0,76,8,,11.13615,16.704225,16.704225,,,,,,
01/02/2019,3300663,59967,10,10,10,0,19,-9,,11.13615,16.704225,16.704225,,,,,,
01/03/2019,3300663,182704,18,18,18,0,23,-5,23,11.13615,16.704225,16.704225,,,43525,7.7625,11.13615,16.704225
01/04/2019,3300663,122567,16,16,16,0,12,4,12,11.13615,16.704225,16.704225,,,43556,8.522,,
01/05/2019,3300663,0,0,0,0,0,3,-3,3,11.13615,16.704225,16.704225,,,43586,9.257,,
01/06/2019,3300663,0,0,0,0,0,6,-6,6,11.13615,16.704225,16.704225,,,43617,10.0165,,
01/07/2019,3300663,125440,7,7,7,0,9,-2,9,11.13615,16.704225,16.704225,,,43647,10.7515,,
01/08/2019,3300663,126444,2,2,2,0,6,-4,6,11.13615,16.704225,16.704225,,,43678,11.511,,
01/09/2019,3300663,191665,5,5,5,0,5,0,5,11.13615,16.704225,16.704225,,,43709,12.2705,,
01/10/2019,3300663,258006,42,28,1,41,29,-28,29,11.13615,16.704225,16.704225,,,43739,13.0055,,
01/11/2019,3300663,522246,33,33,31,2,21,10,21,11.13615,16.704225,16.704225,,,43770,13.765,,
01/12/2019,3300663,197474,18,18,18,0,16,2,16,11.13615,16.704225,16.704225,30.067605,0,43800,14.5,,
01/01/2020,,,,,,,,,,11.13615,16.704225,16.704225,30.067605,0,43831,15.2595,,
08/01/2020,,,,,,,,,,11.13615,16.704225,11.25597497,14.81250493,5.448250026,43838,15.431,,
15/01/2020,,,,,,,,,,11.13615,16.704225,6.795492678,7.771404524,9.908732322,43845,15.6025,,
22/01/2020,,,,,,,,,,11.13615,16.704225,3.143695822,2.006855623,13.56052918,43852,15.774,,
29/01/2020,,,,,,,,,,11.13615,16.704225,0.153969736,-2.712580562,16.55025526,43859,15.9455,,
05/02/2020,,,,,,,,,,11.13615,16.704225,0.470505122,1.163444607,16.23371988,43866,16.117,,
12/02/2020,,,,,,,,,,11.13615,16.704225,2.005500036,5.14489498,14.69872496,43873,16.2885,,
19/02/2020,,,,,,,,,,11.13615,16.704225,4.306736633,10.05336254,12.39748837,43880,16.46,,
26/02/2020,,,,,,,,,,11.13615,16.704225,7.045920872,15.42184181,9.658304128,43887,16.6315,,
04/03/2020,,,,,,,,,,11.13615,16.704225,8.586155248,16.99531382,8.118069752,43894,16.803,,
11/03/2020,,,,,,,,,,11.13615,16.704225,9.125706323,16.96582246,7.578518677,43901,16.9745,,
18/03/2020,,,,,,,,,,11.13615,16.704225,8.678022468,15.17275659,8.026202532,43908,17.146,,
25/03/2020,,,,,,,,,,11.13615,16.704225,7.338735251,11.87043624,9.365489749,,,,
01/04/2020,,,,,,,,,,11.13615,16.704225,5.957147678,9.341278248,10.74707732,,,,
08/04/2020,,,,,,,,,,11.13615,16.704225,4.831385767,7.57073247,11.87283923,,,,
15/04/2020,,,,,,,,,,11.13615,16.704225,4.234628027,7.025572708,12.46959697,,,,
22/04/2020,,,,,,,,,,11.13615,16.704225,4.344442912,7.929812127,12.35978209,,,,
29/04/2020,,,,,,,,,,11.13615,16.704225,4.892631786,9.354926089,11.81159321,,,,
06/05/2020,,,,,,,,,,11.13615,16.704225,5.662256912,10.96168757,11.04196809,,,,
13/05/2020,,,,,,,,,,11.13615,16.704225,6.391131952,12.23291255,10.31309305,,,,
20/05/2020,,,,,,,,,,11.13615,16.704225,6.824013764,12.71610659,9.880211236,,,,
27/05/2020,,,,,,,,,,11.13615,16.704225,6.920183454,12.55249991,9.784041546,,,,
03/06/2020,,,,,,,,,,11.13615,16.704225,6.707772399,11.86157926,9.996452601,,,,
10/06/2020,,,,,,,,,,11.13615,16.704225,6.303525501,10.942099,10.4006995,,,,
17/06/2020,,,,,,,,,,11.13615,16.704225,5.885013806,10.17451316,10.81921119,,,,
24/06/2020,,,,,,,,,,11.13615,16.704225,5.572023813,9.716652869,11.13220119,,,,
