YearMonth,AmountConsumed,Forecast,MedCode
2018-01-01,63.0,,3301771
2018-02-01,66.0,,3301771
2018-03-01,49.0,,3301771
2018-04-01,20.0,,3301771
2018-05-01,89.0,,3301771
2018-06-01,128.0,,3301771
2018-07-01,89.0,,3301771
2018-08-01,82.0,,3301771
2018-09-01,82.0,,3301771
2018-10-01,54.0,,3301771
2018-11-01,113.0,,3301771
2018-12-01,56.0,,3301771
2019-01-01,160.0,,3301771
2019-02-01,116.0,,3301771
2019-03-01,77.0,,3301771
2019-04-01,102.0,,3301771
2019-05-01,78.0,,3301771
2019-06-01,37.0,,3301771
2019-07-01,48.0,,3301771
2019-08-01,33.0,,3301771
2019-09-01,121.0,,3301771
2019-10-01,57.0,,3301771
2019-11-01,41.0,,3301771
2019-12-01,91.0,,3301771
2020-01-01,72.0,78.0272664390887,3301771
2020-02-01,16.0,76.34236011311468,3301771
2020-03-01,99.0,76.11495443465236,3301771
