YearMonth,AmountConsumed,Forecast,MedCode
2018-01-01,31.0,,3302307
2018-02-01,44.0,,3302307
2018-03-01,23.0,,3302307
2018-04-01,48.0,,3302307
2018-05-01,29.0,,3302307
2018-06-01,71.0,,3302307
2018-07-01,73.0,,3302307
2018-08-01,45.0,,3302307
2018-09-01,45.0,,3302307
2018-10-01,54.0,,3302307
2018-11-01,69.0,,3302307
2018-12-01,36.0,,3302307
2019-01-01,4.0,,3302307
2019-02-01,1.0,,3302307
2019-03-01,7.0,,3302307
2019-04-01,17.0,,3302307
2019-05-01,24.0,,3302307
2019-06-01,44.0,,3302307
2019-07-01,61.0,,3302307
2019-08-01,112.0,,3302307
2019-09-01,96.0,,3302307
2019-10-01,95.0,,3302307
2019-11-01,61.0,,3302307
2019-12-01,27.0,,3302307
2020-01-01,5.0,13.318929392568272,3302307
