Month,MedCode,AmountConsumed,Forecast
2018-01-31,3300115,58.0,58.0
2018-02-28,3300115,71.0,71.0
2018-03-31,3300115,78.0,78.0
2018-04-30,3300115,69.0,69.0
2018-05-31,3300115,47.0,47.0
2018-06-30,3300115,41.0,41.0
2018-07-31,3300115,35.0,35.0
2018-08-31,3300115,43.0,43.0
2018-09-30,3300115,43.0,43.0
2018-10-31,3300115,32.0,32.0
2018-11-30,3300115,21.0,21.0
2018-12-31,3300115,8.0,8.0
2019-01-31,3300115,9.0,9.0
2019-02-28,3300115,2.0,2.0
2019-03-31,3300115,5.0,5.0
2019-04-30,3300115,6.0,6.0
2019-05-31,3300115,5.0,5.0
2019-06-30,3300115,4.0,4.0
2019-07-31,3300115,4.0,4.0
2019-08-31,3300115,4.0,4.0
2019-09-30,3300115,4.0,4.0
2019-10-31,3300115,5.0,5.0
2019-11-30,3300115,3.0,3.0
2019-12-31,3300115,4.0,4.0
2020-01-31,3300115,4.0,7.29332682958811
2020-02-29,3300115,5.0,0.0
2020-03-31,3300115,11.0,0.0
2018-01-31,3300142,5.0,5.0
2018-02-28,3300142,7.0,7.0
2018-03-31,3300142,8.0,8.0
2018-04-30,3300142,17.0,17.0
2018-05-31,3300142,8.0,8.0
2018-06-30,3300142,11.0,11.0
2018-07-31,3300142,8.0,8.0
2018-08-31,3300142,5.0,5.0
2018-09-30,3300142,5.0,5.0
2018-10-31,3300142,4.0,4.0
2018-11-30,3300142,6.0,6.0
2018-12-31,3300142,1.0,1.0
2019-01-31,3300142,7.0,7.0
2019-02-28,3300142,5.0,5.0
2019-03-31,3300142,12.0,12.0
2019-04-30,3300142,1.0,1.0
2019-05-31,3300142,2.0,2.0
2019-06-30,3300142,8.0,8.0
2019-07-31,3300142,7.0,7.0
2019-08-31,3300142,3.0,3.0
2019-09-30,3300142,4.0,4.0
2019-10-31,3300142,10.0,10.0
2019-11-30,3300142,11.0,11.0
2019-12-31,3300142,3.0,3.000000000000001
2020-01-31,3300142,4.0,2.5393167327050636
2020-02-29,3300142,5.0,4.124363388380342
2020-03-31,3300142,2.0,4.076985982703673
2018-01-31,3301771,63.0,63.0
2018-02-28,3301771,66.0,66.0
2018-03-31,3301771,49.0,49.0
2018-04-30,3301771,20.0,20.0
2018-05-31,3301771,89.0,89.0
2018-06-30,3301771,128.0,128.0
2018-07-31,3301771,89.0,89.0
2018-08-31,3301771,82.0,82.0
2018-09-30,3301771,82.0,82.0
2018-10-31,3301771,54.0,54.0
2018-11-30,3301771,113.0,113.0
2018-12-31,3301771,56.0,56.0
2019-01-31,3301771,160.0,160.0
2019-02-28,3301771,116.0,116.0
2019-03-31,3301771,77.0,77.0
2019-04-30,3301771,102.0,102.0
2019-05-31,3301771,78.0,78.0
2019-06-30,3301771,37.0,37.0
2019-07-31,3301771,48.0,48.0
2019-08-31,3301771,33.0,33.0
2019-09-30,3301771,121.0,121.0
2019-10-31,3301771,57.0,57.0
2019-11-30,3301771,41.0,41.0
2019-12-31,3301771,91.0,91.0
2020-01-31,3301771,72.0,73.47290845705811
2020-02-29,3301771,16.0,59.17992673053288
2020-03-31,3301771,99.0,63.788826957123064
2018-01-31,3301778,401.0,401.0
2018-02-28,3301778,130.0,129.99999999999994
2018-03-31,3301778,164.0,163.99999999999994
2018-04-30,3301778,158.0,157.99999999999994
2018-05-31,3301778,69.0,68.99999999999994
2018-06-30,3301778,48.0,47.99999999999994
2018-07-31,3301778,72.0,71.99999999999994
2018-08-31,3301778,72.0,71.99999999999994
2018-09-30,3301778,133.0,132.99999999999994
2018-10-31,3301778,69.0,68.99999999999994
2018-11-30,3301778,114.0,113.99999999999994
2018-12-31,3301778,278.0,277.99999999999994
2019-01-31,3301778,291.0,290.99999999999994
2019-02-28,3301778,143.0,142.99999999999994
2019-03-31,3301778,215.0,214.99999999999994
2019-04-30,3301778,40.0,39.99999999999994
2019-05-31,3301778,65.0,64.99999999999994
2019-06-30,3301778,92.0,91.99999999999994
2019-07-31,3301778,84.0,83.99999999999994
2019-08-31,3301778,23.0,22.999999999999943
2019-09-30,3301778,46.0,45.99999999999994
2019-10-31,3301778,42.0,41.99999999999994
2019-11-30,3301778,47.0,46.99999999999994
2019-12-31,3301778,47.0,46.99999999999994
2020-01-31,3301778,22.0,38.78420491710143
2020-02-29,3301778,6.0,16.8807287694712
2020-03-31,3301778,3.0,5.945214672585717
2018-01-31,3302669,1869.0,1869.0
2018-02-28,3302669,1236.0,1236.0
2018-03-31,3302669,1011.0,1011.0
2018-04-30,3302669,737.0,737.0
2018-05-31,3302669,732.0,732.0
2018-06-30,3302669,674.0,674.0
2018-07-31,3302669,968.0,968.0
2018-08-31,3302669,653.0,653.0
2018-09-30,3302669,653.0,653.0
2018-10-31,3302669,1194.0,1194.0
2018-11-30,3302669,1063.0,1063.0
2018-12-31,3302669,1282.0,1282.0
2019-01-31,3302669,2116.0,2116.0
2019-02-28,3302669,758.0,758.0
2019-03-31,3302669,83.0,83.0
2019-04-30,3302669,200.0,200.0
2019-05-31,3302669,275.0,275.0
2019-06-30,3302669,278.0,278.0
2019-07-31,3302669,188.0,188.0
2019-08-31,3302669,318.0,318.0
2019-09-30,3302669,97.0,97.0
2019-10-31,3302669,102.0,102.0
