YearMonth,MedCode,AmountConsumed,Mean_Forecast,ARIMA_Forecast
2018-01-01,3302934,6.0,,
2018-02-01,3302934,7.0,,
2018-03-01,3302934,8.0,,
2018-04-01,3302934,4.0,,
2018-05-01,3302934,6.0,,
2018-06-01,3302934,3.0,,
2018-07-01,3302934,4.0,,
2018-08-01,3302934,11.0,,
2018-09-01,3302934,11.0,,
2018-10-01,3302934,3.0,,
2018-11-01,3302934,5.0,,
2018-12-01,3302934,1.0,,
2019-01-01,3302934,9.0,,
2019-02-01,3302934,6.0,,
2019-03-01,3302934,5.0,,
2019-04-01,3302934,5.0,,
2019-05-01,3302934,6.0,,
2019-06-01,3302934,5.0,,
2019-07-01,3302934,9.0,,
2019-08-01,3302934,4.0,,
2019-09-01,3302934,7.0,,
2019-10-01,3302934,9.0,,
2019-11-01,3302934,3.0,,
2019-12-01,3302934,10.0,,
2020-01-01,3302934,4.0,7.5,6.080256885608909
2020-02-01,3302934,4.0,6.5,7.97266147098023
2020-03-01,3302934,5.0,6.5,8.791288570011222
2018-01-01,3300663,13.0,,
2018-02-01,3300663,17.0,,
2018-03-01,3300663,79.0,,
2018-04-01,3300663,77.0,,
2018-05-01,3300663,52.0,,
2018-06-01,3300663,55.0,,
2018-07-01,3300663,11.0,,
2018-08-01,3300663,25.0,,
2018-09-01,3300663,25.0,,
2018-10-01,3300663,13.0,,
2018-11-01,3300663,97.0,,
2018-12-01,3300663,48.0,,
2019-01-01,3300663,76.0,,
2019-02-01,3300663,19.0,,
2019-03-01,3300663,23.0,,
2019-04-01,3300663,12.0,,
2019-05-01,3300663,3.0,,
2019-06-01,3300663,6.0,,
2019-07-01,3300663,9.0,,
2019-08-01,3300663,6.0,,
2019-09-01,3300663,5.0,,
2019-10-01,3300663,29.0,,
2019-11-01,3300663,21.0,,
2019-12-01,3300663,16.0,,
2020-01-01,3300663,35.0,44.5,17.487936127799802
2020-02-01,3300663,5.0,18.0,17.03416862849058
2020-03-01,3300663,12.0,51.0,17.64276290214457
2018-01-01,3300142,5.0,,
2018-02-01,3300142,7.0,,
2018-03-01,3300142,8.0,,
2018-04-01,3300142,17.0,,
2018-05-01,3300142,8.0,,
2018-06-01,3300142,11.0,,
2018-07-01,3300142,8.0,,
2018-08-01,3300142,5.0,,
2018-09-01,3300142,5.0,,
2018-10-01,3300142,3.0,,
2018-11-01,3300142,4.0,,
2018-12-01,3300142,6.0,,
2019-01-01,3300142,1.0,,
2019-02-01,3300142,7.0,,
2019-03-01,3300142,5.0,,
2019-04-01,3300142,12.0,,
2019-05-01,3300142,1.0,,
2019-06-01,3300142,2.0,,
2019-07-01,3300142,8.0,,
2019-08-01,3300142,7.0,,
2019-09-01,3300142,3.0,,
2019-10-01,3300142,4.0,,
2019-11-01,3300142,10.0,,
2019-12-01,3300142,11.0,,
2020-01-01,3300142,4.0,3.0,5.559689068403815
2020-02-01,3300142,5.0,7.0,6.272373226582482
2020-03-01,3300142,2.0,6.5,4.296794449886076
2018-01-01,3300115,58.0,,
2018-02-01,3300115,71.0,,
2018-03-01,3300115,78.0,,
2018-04-01,3300115,69.0,,
2018-05-01,3300115,47.0,,
2018-06-01,3300115,41.0,,
2018-07-01,3300115,35.0,,
2018-08-01,3300115,43.0,,
2018-09-01,3300115,43.0,,
2018-10-01,3300115,32.0,,
2018-11-01,3300115,21.0,,
2018-12-01,3300115,8.0,,
2019-01-01,3300115,9.0,,
2019-02-01,3300115,2.0,,
2019-03-01,3300115,5.0,,
2019-04-01,3300115,4.0,,
2019-05-01,3300115,6.0,,
2019-06-01,3300115,5.0,,
2019-07-01,3300115,4.0,,
2019-08-01,3300115,4.0,,
2019-09-01,3300115,4.0,,
2019-10-01,3300115,4.0,,
2019-11-01,3300115,5.0,,
2019-12-01,3300115,3.0,,
2020-01-01,3300115,4.0,33.5,3.5274781590850086
2020-02-01,3300115,5.0,36.5,5.5662909663062505
2020-03-01,3300115,11.0,41.5,8.107537492943035
2018-01-01,3301778,401.0,,
2018-02-01,3301778,130.0,,
2018-03-01,3301778,164.0,,
2018-04-01,3301778,158.0,,
2018-05-01,3301778,47.0,,
2018-06-01,3301778,69.0,,
2018-07-01,3301778,48.0,,
