YearMonth,AmountConsumed,Forecast,MedCode
2018-01-01,401.0,,3301778
2018-02-01,130.0,,3301778
2018-03-01,164.0,,3301778
2018-04-01,158.0,,3301778
2018-05-01,47.0,,3301778
2018-06-01,69.0,,3301778
2018-07-01,48.0,,3301778
2018-08-01,72.0,,3301778
2018-09-01,72.0,,3301778
2018-10-01,133.0,,3301778
2018-11-01,69.0,,3301778
2018-12-01,114.0,,3301778
2019-01-01,278.0,,3301778
2019-02-01,291.0,,3301778
2019-03-01,143.0,,3301778
2019-04-01,215.0,,3301778
2019-05-01,40.0,,3301778
2019-06-01,65.0,,3301778
2019-07-01,92.0,,3301778
2019-08-01,84.0,,3301778
2019-09-01,23.0,,3301778
2019-10-01,46.0,,3301778
2019-11-01,42.0,,3301778
2019-12-01,47.0,,3301778
2020-01-01,22.0,27.279325507188897,3301778
2020-02-01,6.0,15.503102016376959,3301778
2020-03-01,3.0,4.906231762987039,3301778
