,Month,MedCode,AmountConsumed,Mean_Forecast,ARIMA_Forecast,NN_Forecast
0,2018-01-01,3302934,6.0,,,
1,2018-02-01,3302934,7.0,,,
2,2018-03-01,3302934,8.0,,,
3,2018-04-01,3302934,4.0,,,
4,2018-05-01,3302934,6.0,,,
5,2018-06-01,3302934,3.0,,,
6,2018-07-01,3302934,4.0,,,
7,2018-08-01,3302934,11.0,,,
8,2018-09-01,3302934,11.0,,,
9,2018-10-01,3302934,3.0,,,
10,2018-11-01,3302934,5.0,,,
11,2018-12-01,3302934,1.0,,,
12,2019-01-01,3302934,9.0,,,
13,2019-02-01,3302934,6.0,,,
14,2019-03-01,3302934,5.0,,,
15,2019-04-01,3302934,5.0,,,
16,2019-05-01,3302934,6.0,,,
17,2019-06-01,3302934,5.0,,,
18,2019-07-01,3302934,9.0,,,
19,2019-08-01,3302934,4.0,,,
20,2019-09-01,3302934,7.0,,,
21,2019-10-01,3302934,9.0,,,
22,2019-11-01,3302934,3.0,,,
23,2019-12-01,3302934,10.0,,,
24,2020-01-01,3302934,4.0,7.5,6.080256885608909,4.440407956348709
25,2020-02-01,3302934,4.0,6.5,7.97266147098023,5.585251240858828
26,2020-03-01,3302934,5.0,6.5,8.791288570011222,5.417818949872056
27,2018-01-01,3300663,13.0,,,
28,2018-02-01,3300663,17.0,,,
29,2018-03-01,3300663,79.0,,,
30,2018-04-01,3300663,77.0,,,
31,2018-05-01,3300663,52.0,,,
32,2018-06-01,3300663,55.0,,,
33,2018-07-01,3300663,11.0,,,
34,2018-08-01,3300663,25.0,,,
35,2018-09-01,3300663,25.0,,,
36,2018-10-01,3300663,13.0,,,
37,2018-11-01,3300663,97.0,,,
38,2018-12-01,3300663,48.0,,,
39,2019-01-01,3300663,76.0,,,
40,2019-02-01,3300663,19.0,,,
41,2019-03-01,3300663,23.0,,,
42,2019-04-01,3300663,12.0,,,
43,2019-05-01,3300663,3.0,,,
44,2019-06-01,3300663,6.0,,,
45,2019-07-01,3300663,9.0,,,
46,2019-08-01,3300663,6.0,,,
47,2019-09-01,3300663,5.0,,,
48,2019-10-01,3300663,29.0,,,
49,2019-11-01,3300663,21.0,,,
50,2019-12-01,3300663,16.0,,,
51,2020-01-01,3300663,35.0,44.5,17.487936127799802,45.04133300840483
52,2020-02-01,3300663,5.0,18.0,17.03416862849058,17.879250052525197
53,2020-03-01,3300663,12.0,51.0,17.64276290214457,20.972960602175988
54,2018-01-01,3300142,5.0,,,
55,2018-02-01,3300142,7.0,,,
56,2018-03-01,3300142,8.0,,,
57,2018-04-01,3300142,17.0,,,
58,2018-05-01,3300142,8.0,,,
59,2018-06-01,3300142,11.0,,,
60,2018-07-01,3300142,8.0,,,
61,2018-08-01,3300142,5.0,,,
62,2018-09-01,3300142,5.0,,,
63,2018-10-01,3300142,3.0,,,
64,2018-11-01,3300142,4.0,,,
65,2018-12-01,3300142,6.0,,,
66,2019-01-01,3300142,1.0,,,
67,2019-02-01,3300142,7.0,,,
68,2019-03-01,3300142,5.0,,,
69,2019-04-01,3300142,12.0,,,
70,2019-05-01,3300142,1.0,,,
71,2019-06-01,3300142,2.0,,,
72,2019-07-01,3300142,8.0,,,
73,2019-08-01,3300142,7.0,,,
74,2019-09-01,3300142,3.0,,,
75,2019-10-01,3300142,4.0,,,
76,2019-11-01,3300142,10.0,,,
77,2019-12-01,3300142,11.0,,,
78,2020-01-01,3300142,4.0,3.0,5.559689068403815,2.539316732705064
79,2020-02-01,3300142,5.0,7.0,6.272373226582482,4.124363388380342
80,2020-03-01,3300142,2.0,6.5,4.296794449886076,4.076985982703674
81,2018-01-01,3300115,58.0,,,
82,2018-02-01,3300115,71.0,,,
83,2018-03-01,3300115,78.0,,,
84,2018-04-01,3300115,69.0,,,
85,2018-05-01,3300115,47.0,,,
86,2018-06-01,3300115,41.0,,,
87,2018-07-01,3300115,35.0,,,
88,2018-08-01,3300115,43.0,,,
89,2018-09-01,3300115,43.0,,,
90,2018-10-01,3300115,32.0,,,
91,2018-11-01,3300115,21.0,,,
92,2018-12-01,3300115,8.0,,,
93,2019-01-01,3300115,9.0,,,
94,2019-02-01,3300115,2.0,,,
95,2019-03-01,3300115,5.0,,,
96,2019-04-01,3300115,4.0,,,
97,2019-05-01,3300115,6.0,,,
98,2019-06-01,3300115,5.0,,,
99,2019-07-01,3300115,4.0,,,
100,2019-08-01,3300115,4.0,,,
101,2019-09-01,3300115,4.0,,,
102,2019-10-01,3300115,4.0,,,
103,2019-11-01,3300115,5.0,,,
104,2019-12-01,3300115,3.0,,,
105,2020-01-01,3300115,4.0,33.5,3.5274781590850086,7.293326829588111
106,2020-02-01,3300115,5.0,36.5,5.5662909663062505,0.0
107,2020-03-01,3300115,11.0,41.5,8.107537492943035,0.0
108,2018-01-01,3301778,401.0,,,
109,2018-02-01,3301778,130.0,,,
110,2018-03-01,3301778,164.0,,,
111,2018-04-01,3301778,158.0,,,
112,2018-05-01,3301778,47.0,,,
113,2018-06-01,3301778,69.0,,,
114,2018-07-01,3301778,48.0,,,
115,2018-08-01,3301778,72.0,,,
116,2018-09-01,3301778,72.0,,,
117,2018-10-01,3301778,133.0,,,
118,2018-11-01,3301778,69.0,,,
119,2018-12-01,3301778,114.0,,,
120,2019-01-01,3301778,278.0,,,
121,2019-02-01,3301778,291.0,,,
122,2019-03-01,3301778,143.0,,,
123,2019-04-01,3301778,215.0,,,
124,2019-05-01,3301778,40.0,,,
125,2019-06-01,3301778,65.0,,,
126,2019-07-01,3301778,92.0,,,
127,2019-08-01,3301778,84.0,,,
128,2019-09-01,3301778,23.0,,,
129,2019-10-01,3301778,46.0,,,
130,2019-11-01,3301778,42.0,,,
131,2019-12-01,3301778,47.0,,,
132,2020-01-01,3301778,22.0,339.5,27.279325507188894,38.784204917101434
133,2020-02-01,3301778,6.0,210.5,15.50310201637696,16.8807287694712
134,2020-03-01,3301778,3.0,153.5,4.906231762987039,5.945214672585718
135,2018-01-01,3302669,1869.0,,,
136,2018-02-01,3302669,1236.0,,,
137,2018-03-01,3302669,1011.0,,,
138,2018-04-01,3302669,737.0,,,
139,2018-05-01,3302669,732.0,,,
140,2018-06-01,3302669,674.0,,,
141,2018-07-01,3302669,968.0,,,
142,2018-08-01,3302669,653.0,,,
143,2018-09-01,3302669,653.0,,,
144,2018-10-01,3302669,1194.0,,,
145,2018-11-01,3302669,1063.0,,,
146,2018-12-01,3302669,1282.0,,,
147,2019-01-01,3302669,2116.0,,,
148,2019-02-01,3302669,758.0,,,
149,2019-03-01,3302669,83.0,,,
150,2019-04-01,3302669,200.0,,,
151,2019-05-01,3302669,275.0,,,
152,2019-06-01,3302669,278.0,,,
153,2019-07-01,3302669,188.0,,,
154,2019-08-01,3302669,318.0,,,
155,2019-09-01,3302669,97.0,,,
156,2019-10-01,3302669,102.0,,,
157,2019-11-01,3302669,239.0,,,
158,2019-12-01,3302669,271.0,,,
159,2020-01-01,3302669,245.0,1992.5,258.60905955909715,365.4917626256117
160,2020-02-01,3302669,125.0,997.0,279.6020844187178,107.5337195096194
161,2020-03-01,3302669,190.0,547.0,265.52363923798833,86.19514508075889
162,2018-01-01,3302307,31.0,,,
163,2018-02-01,3302307,44.0,,,
164,2018-03-01,3302307,23.0,,,
165,2018-04-01,3302307,48.0,,,
166,2018-05-01,3302307,29.0,,,
167,2018-06-01,3302307,71.0,,,
168,2018-07-01,3302307,73.0,,,
169,2018-08-01,3302307,45.0,,,
170,2018-09-01,3302307,45.0,,,
171,2018-10-01,3302307,54.0,,,
172,2018-11-01,3302307,69.0,,,
173,2018-12-01,3302307,36.0,,,
174,2019-01-01,3302307,4.0,,,
175,2019-02-01,3302307,1.0,,,
176,2019-03-01,3302307,7.0,,,
177,2019-04-01,3302307,17.0,,,
178,2019-05-01,3302307,24.0,,,
179,2019-06-01,3302307,44.0,,,
180,2019-07-01,3302307,61.0,,,
181,2019-08-01,3302307,112.0,,,
182,2019-09-01,3302307,96.0,,,
183,2019-10-01,3302307,95.0,,,
184,2019-11-01,3302307,61.0,,,
185,2019-12-01,3302307,27.0,,,
186,2020-01-01,3302307,5.0,17.5,13.318929392568274,17.422052935329802
187,2018-01-01,3500322,44.0,,,
188,2018-02-01,3500322,41.0,,,
189,2018-03-01,3500322,74.0,,,
190,2018-04-01,3500322,43.0,,,
191,2018-05-01,3500322,42.0,,,
192,2018-06-01,3500322,22.0,,,
193,2018-07-01,3500322,37.0,,,
194,2018-08-01,3500322,43.0,,,
195,2018-09-01,3500322,43.0,,,
196,2018-10-01,3500322,37.0,,,
197,2018-11-01,3500322,20.0,,,
198,2018-12-01,3500322,24.0,,,
199,2019-01-01,3500322,37.0,,,
200,2019-02-01,3500322,22.0,,,
201,2019-03-01,3500322,42.0,,,
202,2019-04-01,3500322,70.0,,,
203,2019-05-01,3500322,107.0,,,
204,2019-06-01,3500322,95.0,,,
205,2019-07-01,3500322,115.0,,,
206,2019-08-01,3500322,100.0,,,
207,2019-09-01,3500322,116.0,,,
208,2019-10-01,3500322,146.0,,,
209,2019-11-01,3500322,89.0,,,
210,2019-12-01,3500322,74.0,,,
211,2020-01-01,3500322,85.0,40.5,77.58433259076385,87.31569423604202
212,2020-02-01,3500322,92.0,31.5,78.99413514825244,88.782769512485
213,2020-03-01,3500322,88.0,58.0,80.59220497278534,91.51833710238822
214,2018-01-01,3301771,63.0,,,
215,2018-02-01,3301771,66.0,,,
216,2018-03-01,3301771,49.0,,,
217,2018-04-01,3301771,20.0,,,
218,2018-05-01,3301771,89.0,,,
219,2018-06-01,3301771,128.0,,,
220,2018-07-01,3301771,89.0,,,
221,2018-08-01,3301771,82.0,,,
222,2018-09-01,3301771,82.0,,,
223,2018-10-01,3301771,54.0,,,
224,2018-11-01,3301771,113.0,,,
225,2018-12-01,3301771,56.0,,,
226,2019-01-01,3301771,160.0,,,
227,2019-02-01,3301771,116.0,,,
228,2019-03-01,3301771,77.0,,,
229,2019-04-01,3301771,102.0,,,
230,2019-05-01,3301771,78.0,,,
231,2019-06-01,3301771,37.0,,,
232,2019-07-01,3301771,48.0,,,
233,2019-08-01,3301771,33.0,,,
234,2019-09-01,3301771,121.0,,,
235,2019-10-01,3301771,57.0,,,
236,2019-11-01,3301771,41.0,,,
237,2019-12-01,3301771,91.0,,,
238,2020-01-01,3301771,72.0,111.5,78.0272664390887,73.47290845705811
239,2020-02-01,3301771,16.0,91.0,76.3423601131147,59.179926730532884
240,2020-03-01,3301771,99.0,63.0,76.11495443465236,63.788826957123064
