YearMonth,AmountConsumed,Forecast,MedCode
2018-01-01,58.0,,3300115
2018-02-01,71.0,,3300115
2018-03-01,78.0,,3300115
2018-04-01,69.0,,3300115
2018-05-01,47.0,,3300115
2018-06-01,41.0,,3300115
2018-07-01,35.0,,3300115
2018-08-01,43.0,,3300115
2018-09-01,43.0,,3300115
2018-10-01,32.0,,3300115
2018-11-01,21.0,,3300115
2018-12-01,8.0,,3300115
2019-01-01,9.0,,3300115
2019-02-01,2.0,,3300115
2019-03-01,5.0,,3300115
2019-04-01,4.0,,3300115
2019-05-01,6.0,,3300115
2019-06-01,5.0,,3300115
2019-07-01,4.0,,3300115
2019-08-01,4.0,,3300115
2019-09-01,4.0,,3300115
2019-10-01,4.0,,3300115
2019-11-01,5.0,,3300115
2019-12-01,3.0,,3300115
2020-01-01,4.0,3.5274781590850086,3300115
2020-02-01,5.0,5.56629096630625,3300115
2020-03-01,11.0,8.107537492943035,3300115
