YearMonth,AmountConsumed,Forecast,MedCode
2018-01-01,13.0,,3300663
2018-02-01,17.0,,3300663
2018-03-01,79.0,,3300663
2018-04-01,77.0,,3300663
2018-05-01,52.0,,3300663
2018-06-01,55.0,,3300663
2018-07-01,11.0,,3300663
2018-08-01,25.0,,3300663
2018-09-01,25.0,,3300663
2018-10-01,13.0,,3300663
2018-11-01,97.0,,3300663
2018-12-01,48.0,,3300663
2019-01-01,76.0,,3300663
2019-02-01,19.0,,3300663
2019-03-01,23.0,,3300663
2019-04-01,12.0,,3300663
2019-05-01,3.0,,3300663
2019-06-01,6.0,,3300663
2019-07-01,9.0,,3300663
2019-08-01,6.0,,3300663
2019-09-01,5.0,,3300663
2019-10-01,29.0,,3300663
2019-11-01,21.0,,3300663
2019-12-01,16.0,,3300663
2020-01-01,35.0,17.4879361277998,3300663
2020-02-01,5.0,17.03416862849058,3300663
2020-03-01,12.0,17.64276290214457,3300663
